"V1" "V2" "V3" "V4" "V5"
"1" "41215" "6" "700" "1" "N2_EV1_star2"
"2" "41502" "6" "711" "1" "N2_EV1_star2"
"3" "41371" "6" "738" "1" "N2_EV1_star2"
"4" "41333" "5" "706" "1" "N2_EV1_star2"
"5" "41564" "5" "755" "1" "N2_EV1_star2"
"6" "41461" "7" "692" "1" "N2_EV1_star2"
"7" "41252" "8" "708" "1" "N2_EV1_star2"
"8" "41395" "4" "714" "1" "N2_EV1_star2"
"9" "41164" "5" "750" "1" "N2_EV1_star2"
"10" "41500" "5" "730" "1" "N2_EV1_star2"
"11" "41124" "4" "761" "1" "N2_EV1_star2"
"12" "41195" "5" "691" "1" "N2_EV1_star2"
"13" "41490" "8" "705" "1" "N2_EV1_star2"
"14" "41405" "10" "705" "1" "N2_EV1_star2"
"15" "41359" "5" "724" "1" "N2_EV1_star2"
"16" "70956" "12" "1069" "2" "N2_EV1_star2"
"17" "70713" "7" "1036" "2" "N2_EV1_star2"
"18" "70830" "13" "1096" "2" "N2_EV1_star2"
"19" "70974" "9" "1049" "2" "N2_EV1_star2"
"20" "70912" "12" "1094" "2" "N2_EV1_star2"
"21" "70973" "10" "1033" "2" "N2_EV1_star2"
"22" "70842" "12" "1060" "2" "N2_EV1_star2"
"23" "71055" "8" "1052" "2" "N2_EV1_star2"
"24" "70930" "12" "1067" "2" "N2_EV1_star2"
"25" "70346" "14" "1068" "2" "N2_EV1_star2"
"26" "70500" "11" "1076" "2" "N2_EV1_star2"
"27" "70778" "13" "1089" "2" "N2_EV1_star2"
"28" "70763" "13" "1049" "2" "N2_EV1_star2"
"29" "70450" "9" "1047" "2" "N2_EV1_star2"
"30" "70737" "15" "1041" "2" "N2_EV1_star2"
"31" "95240" "14" "1316" "3" "N2_EV1_star2"
"32" "95465" "16" "1320" "3" "N2_EV1_star2"
"33" "94976" "15" "1290" "3" "N2_EV1_star2"
"34" "95023" "15" "1293" "3" "N2_EV1_star2"
"35" "95379" "16" "1293" "3" "N2_EV1_star2"
"36" "94875" "14" "1310" "3" "N2_EV1_star2"
"37" "95062" "18" "1308" "3" "N2_EV1_star2"
"38" "95276" "14" "1306" "3" "N2_EV1_star2"
"39" "95540" "15" "1277" "3" "N2_EV1_star2"
"40" "94853" "15" "1311" "3" "N2_EV1_star2"
"41" "95167" "14" "1288" "3" "N2_EV1_star2"
"42" "95222" "17" "1301" "3" "N2_EV1_star2"
"43" "95279" "20" "1286" "3" "N2_EV1_star2"
"44" "95255" "15" "1300" "3" "N2_EV1_star2"
"45" "94669" "15" "1281" "3" "N2_EV1_star2"
"46" "133894" "18" "1619" "5" "N2_EV1_star2"
"47" "134281" "18" "1590" "5" "N2_EV1_star2"
"48" "134093" "21" "1600" "5" "N2_EV1_star2"
"49" "134242" "16" "1625" "5" "N2_EV1_star2"
"50" "133951" "19" "1617" "5" "N2_EV1_star2"
"51" "134349" "16" "1620" "5" "N2_EV1_star2"
