"V1" "V2" "V3" "V4" "V5"
"1" "20054" "3" "391" "50000" "N2_EV1_star2"
"2" "19997" "5" "393" "50000" "N2_EV1_star2"
"3" "19909" "6" "372" "50000" "N2_EV1_star2"
"4" "19917" "3" "377" "50000" "N2_EV1_star2"
"5" "19757" "7" "400" "50000" "N2_EV1_star2"
"6" "19836" "4" "377" "50000" "N2_EV1_star2"
"7" "20032" "4" "373" "50000" "N2_EV1_star2"
"8" "19946" "7" "399" "50000" "N2_EV1_star2"
"9" "19686" "4" "388" "50000" "N2_EV1_star2"
"10" "19917" "3" "380" "50000" "N2_EV1_star2"
"11" "19918" "2" "394" "50000" "N2_EV1_star2"
"12" "20045" "3" "380" "50000" "N2_EV1_star2"
"13" "19969" "5" "382" "50000" "N2_EV1_star2"
"14" "19967" "4" "380" "50000" "N2_EV1_star2"
"15" "19998" "3" "367" "50000" "N2_EV1_star2"
"16" "35024" "6" "626" "1e+05" "N2_EV1_star2"
"17" "35176" "4" "640" "1e+05" "N2_EV1_star2"
"18" "35049" "9" "626" "1e+05" "N2_EV1_star2"
"19" "35064" "7" "581" "1e+05" "N2_EV1_star2"
"20" "35107" "8" "646" "1e+05" "N2_EV1_star2"
"21" "35114" "3" "642" "1e+05" "N2_EV1_star2"
"22" "35024" "4" "643" "1e+05" "N2_EV1_star2"
"23" "35027" "5" "611" "1e+05" "N2_EV1_star2"
"24" "35139" "7" "607" "1e+05" "N2_EV1_star2"
"25" "34979" "8" "598" "1e+05" "N2_EV1_star2"
"26" "34820" "7" "622" "1e+05" "N2_EV1_star2"
"27" "35009" "6" "617" "1e+05" "N2_EV1_star2"
"28" "34997" "6" "633" "1e+05" "N2_EV1_star2"
"29" "34893" "7" "619" "1e+05" "N2_EV1_star2"
"30" "35009" "5" "626" "1e+05" "N2_EV1_star2"
"31" "71697" "13" "1099" "250000" "N2_EV1_star2"
"32" "71601" "5" "1048" "250000" "N2_EV1_star2"
"33" "71599" "10" "1095" "250000" "N2_EV1_star2"
"34" "71557" "9" "1037" "250000" "N2_EV1_star2"
"35" "71416" "11" "1078" "250000" "N2_EV1_star2"
"36" "71917" "8" "1074" "250000" "N2_EV1_star2"
"37" "71532" "11" "1072" "250000" "N2_EV1_star2"
"38" "71819" "10" "1034" "250000" "N2_EV1_star2"
"39" "71542" "10" "1038" "250000" "N2_EV1_star2"
"40" "71077" "11" "1085" "250000" "N2_EV1_star2"
"41" "71402" "14" "1097" "250000" "N2_EV1_star2"
"42" "71242" "15" "1049" "250000" "N2_EV1_star2"
"43" "71290" "12" "1079" "250000" "N2_EV1_star2"
"44" "71723" "10" "1087" "250000" "N2_EV1_star2"
"45" "71688" "14" "1075" "250000" "N2_EV1_star2"
"46" "117189" "14" "1449" "5e+05" "N2_EV1_star2"
"47" "117580" "20" "1481" "5e+05" "N2_EV1_star2"
"48" "117163" "16" "1480" "5e+05" "N2_EV1_star2"
"49" "117190" "19" "1497" "5e+05" "N2_EV1_star2"
"50" "117479" "18" "1461" "5e+05" "N2_EV1_star2"
"51" "117381" "13" "1472" "5e+05" "N2_EV1_star2"
"52" "117267" "18" "1469" "5e+05" "N2_EV1_star2"
"53" "117226" "16" "1472" "5e+05" "N2_EV1_star2"
"54" "117096" "17" "1486" "5e+05" "N2_EV1_star2"
"55" "117237" "17" "1487" "5e+05" "N2_EV1_star2"
"56" "117209" "14" "1482" "5e+05" "N2_EV1_star2"
"57" "117170" "16" "1477" "5e+05" "N2_EV1_star2"
"58" "116906" "20" "1466" "5e+05" "N2_EV1_star2"
"59" "117333" "16" "1478" "5e+05" "N2_EV1_star2"
"60" "117612" "19" "1482" "5e+05" "N2_EV1_star2"
"61" "179068" "27" "1870" "1e+06" "N2_EV1_star2"
"62" "178920" "26" "1896" "1e+06" "N2_EV1_star2"
"63" "178190" "19" "1906" "1e+06" "N2_EV1_star2"
"64" "178856" "27" "1887" "1e+06" "N2_EV1_star2"
"65" "178537" "30" "1902" "1e+06" "N2_EV1_star2"
"66" "178677" "23" "1936" "1e+06" "N2_EV1_star2"
"67" "178804" "25" "1851" "1e+06" "N2_EV1_star2"
"68" "178613" "21" "1887" "1e+06" "N2_EV1_star2"
"69" "178210" "25" "1925" "1e+06" "N2_EV1_star2"
"70" "178384" "22" "1927" "1e+06" "N2_EV1_star2"
"71" "178677" "23" "1898" "1e+06" "N2_EV1_star2"
"72" "178951" "27" "1935" "1e+06" "N2_EV1_star2"
"73" "178663" "24" "1871" "1e+06" "N2_EV1_star2"
"74" "178727" "22" "1922" "1e+06" "N2_EV1_star2"
"75" "178733" "25" "1874" "1e+06" "N2_EV1_star2"
"76" "247726" "31" "2252" "2e+06" "N2_EV1_star2"
"77" "247849" "32" "2217" "2e+06" "N2_EV1_star2"
"78" "247159" "30" "2236" "2e+06" "N2_EV1_star2"
"79" "247858" "26" "2275" "2e+06" "N2_EV1_star2"
"80" "247374" "30" "2228" "2e+06" "N2_EV1_star2"
"81" "247817" "31" "2227" "2e+06" "N2_EV1_star2"
"82" "247593" "34" "2242" "2e+06" "N2_EV1_star2"
"83" "247335" "28" "2210" "2e+06" "N2_EV1_star2"
"84" "247345" "29" "2232" "2e+06" "N2_EV1_star2"
"85" "247917" "30" "2248" "2e+06" "N2_EV1_star2"
"86" "247848" "30" "2234" "2e+06" "N2_EV1_star2"
"87" "247448" "29" "2251" "2e+06" "N2_EV1_star2"
"88" "247544" "32" "2263" "2e+06" "N2_EV1_star2"
"89" "247618" "33" "2243" "2e+06" "N2_EV1_star2"
"90" "248175" "29" "2251" "2e+06" "N2_EV1_star2"
"91" "285295" "31" "2412" "3e+06" "N2_EV1_star2"
"92" "285532" "33" "2410" "3e+06" "N2_EV1_star2"
"93" "285429" "33" "2400" "3e+06" "N2_EV1_star2"
"94" "285413" "31" "2399" "3e+06" "N2_EV1_star2"
"95" "285379" "30" "2418" "3e+06" "N2_EV1_star2"
"96" "285026" "30" "2387" "3e+06" "N2_EV1_star2"
"97" "285306" "32" "2399" "3e+06" "N2_EV1_star2"
"98" "285101" "34" "2408" "3e+06" "N2_EV1_star2"
"99" "285602" "31" "2423" "3e+06" "N2_EV1_star2"
"100" "285299" "34" "2397" "3e+06" "N2_EV1_star2"
"101" "285178" "32" "2403" "3e+06" "N2_EV1_star2"
"102" "285598" "30" "2373" "3e+06" "N2_EV1_star2"
"103" "284757" "35" "2410" "3e+06" "N2_EV1_star2"
"104" "284717" "33" "2381" "3e+06" "N2_EV1_star2"
"105" "285313" "33" "2403" "3e+06" "N2_EV1_star2"
"106" "309158" "31" "2482" "4e+06" "N2_EV1_star2"
"107" "308937" "34" "2484" "4e+06" "N2_EV1_star2"
"108" "308962" "35" "2492" "4e+06" "N2_EV1_star2"
"109" "308647" "33" "2496" "4e+06" "N2_EV1_star2"
"110" "309147" "36" "2497" "4e+06" "N2_EV1_star2"
"111" "308865" "31" "2495" "4e+06" "N2_EV1_star2"
"112" "308961" "36" "2500" "4e+06" "N2_EV1_star2"
"113" "308871" "35" "2494" "4e+06" "N2_EV1_star2"
"114" "308626" "34" "2504" "4e+06" "N2_EV1_star2"
"115" "308862" "33" "2499" "4e+06" "N2_EV1_star2"
"116" "308593" "34" "2464" "4e+06" "N2_EV1_star2"
"117" "308857" "35" "2490" "4e+06" "N2_EV1_star2"
