#Condition A: pooled_N2_run2/IRFinder-IR-dir.txt
#Condition B: pooled_TFIIS_I_run2/IRFinder-IR-dir.txt
Chr	Start	End	Intron-GeneName/GeneID	-	Direction	ExcludedBases	p-diff	p-increased	p-decreased	A-IRratio	A-IRok	A-IntronCover	A-IntronDepth	A-SplicesMax	A-SplicesExact	B-IRratio	B-IRok	B-IntronCover	B-IntronDepth	B-SplicesMax	B-SplicesExact
V	11616584	11616660	nlp-24/WBGene00003762/clean	0	+	10	1.50627e-54	1	1.50627e-54	0.0683104	-	1	389.25	5309	5309	0.0176825	NonUniformIntronCover	1	170.036	9446	9446
V	9343567	9343675	tos-1/WBGene00019466/known-exon	0	-	10	1.71527e-32	1	1.71527e-32	0.138455	-	1	624.5	3323	3323	0.0673617	MinorIsoform	1	457.775	4342	4333
X	12105082	12105139	col-181/WBGene00000754/clean	0	+	10	1.89834e-29	1.89834e-29	1	0.0144649	-	1	346	23574	23574	0.0332144	-	1	391	11381	11381
III	5387194	5387346	Y32H12A.8/WBGene00021316/clean	0	-	10	2.22302e-27	2.22302e-27	1	0	-	0	0	342	342	0.462963	NonUniformIntronCover	0.584507	35.3448	41	41
IV	10735381	10735441	cyb-1/WBGene00000865/clean	0	+	10	3.73817e-26	1	3.73817e-26	0.327706	NonUniformIntronCover	1	108.7	220	220	0.0746539	-	1	107.3	1330	1330
I	6220205	6220367	rps-17/WBGene00004486/clean	0	-	10	3.47172e-21	1	3.47172e-21	0.0199971	-	1	230.742	11308	11308	0.00652375	NonUniformIntronCover	1	84.5645	12878	12878
III	5186315	5186390	pup-2/WBGene00019628/clean	0	+	10	4.44541e-21	4.44541e-21	1	0.00395302	-	1	34.4444	8679	8673	0.0266066	NonUniformIntronCover	1	65	2378	2378
III	6952404	6952467	let-711/WBGene00002845/clean	0	+	10	1.06392e-20	1.06392e-20	1	0.00645161	NonUniformIntronCover	1	1	154	154	0.5	-	1	56	56	56
III	348164	348217	gei-4/WBGene00001561/clean	0	-	10	1.12357e-20	1.12357e-20	1	0.0409853	-	1	32.0526	750	750	0.221053	-	1	105	370	370
II	13157583	13157644	F32A11.1/WBGene00009307/clean	0	+	10	1.27374e-20	1.27374e-20	1	0.00156986	-	1	1	636	636	0.139159	-	1	43	266	266
V	6408605	6408657	F57F4.4/WBGene00019017/clean	0	-	10	6.14116e-20	6.14116e-20	1	0.024055	-	1	7	284	284	0.6	-	1	30	20	20
IV	10129447	10129499	K08F4.3/WBGene00010678/clean	0	+	10	1.24829e-19	1	1.24829e-19	0.113586	NonUniformIntronCover	1	51	398	398	0	-	0	0	588	588
V	19610450	19610506	grsp-1/WBGene00012840/clean	0	+	10	1.67048e-19	1	1.67048e-19	0.178992	-	1	88.95	408	408	0.0257178	-	1	18.9	716	716
I	3273279	3273366	pqn-72/WBGene00004154/clean	0	-	10	1.75267e-19	1	1.75267e-19	0.514579	NonUniformIntronCover	1	30.7419	29	29	0.00338511	-	0.662338	0.903226	195	195
V	6706840	6706896	W02F12.4/WBGene00020949/clean	0	-	10	4.50789e-19	4.50789e-19	1	0.0089521	-	1	20.55	2273	2273	0.0624251	NonUniformIntronCover	1	78.1	1173	1173
X	3090493	3090552	pccb-1/WBGene00018701/clean	0	+	10	1.0037e-18	1	1.0037e-18	0.0529299	-	1	156.095	2793	2792	0.0121324	-	1	33	2680	2680
IV	4390460	4390561	rpl-7A/WBGene00004419/clean	0	-	15	1.09837e-18	1	1.09837e-18	0.012935	-	1	318.111	24275	24275	0.00536826	-	1	125	23160	23160
I	2928451	2928508	trap-1/WBGene00022122/clean	0	+	10	2.09195e-18	2.09195e-18	1	0.00251438	-	1	49.8421	19773	19773	0.0141728	-	1	58.0526	4038	4038
X	3259469	3259527	lbp-1/WBGene00002253/clean	0	+	10	2.78796e-18	1	2.78796e-18	0.0358831	NonUniformIntronCover	1	74.4	1999	1999	0.000605327	-	0.75	1	1651	1651
III	8903959	8904068	lin-9/WBGene00002998/clean	0	-	10	4.54682e-18	1	4.54682e-18	0.0331352	NonUniformIntronCover	0.939394	76.561	2234	2234	6.53783e-06	-	0.010101	0	1545	1545
II	9231766	9231827	gst-13/WBGene00001761/clean	0	+	10	2.03064e-17	2.03064e-17	1	0.0222222	-	1	3	132	132	0.561798	NonUniformIntronCover	1	50	39	39
III	1143633	1143701	smr-1/WBGene00004891/clean	0	+	10	2.32213e-17	1	2.32213e-17	0.1277	-	1	157.667	1077	1077	0.0302734	-	1	31	993	993
I	7300422	7300542	dylt-1/WBGene00008764/clean	0	-	10	2.42453e-17	2.42453e-17	1	0.0029548	-	0.672727	0.931818	227	227	0.323077	NonUniformIntronCover	0.672727	37.2273	78	78
I	2928649	2928705	trap-1/WBGene00022122/clean	0	+	10	2.83258e-17	2.83258e-17	1	0.00455927	NonUniformIntronCover	1	27	5895	5895	0.0375587	-	1	40	1025	1025
III	5878703	5878759	F01F1.2/WBGene00017159/clean	0	+	10	4.08447e-17	1	4.08447e-17	0.244823	-	1	100.5	310	310	0	-	0	0	184	184
V	19436613	19436667	C25F9.14/WBGene00045461/clean	0	+	10	5.947e-17	5.947e-17	1	0.00790905	-	0.659091	1.77778	223	223	0.219547	NonUniformIntronCover	1	190.444	677	677
I	7170205	7170347	K07G5.5/WBGene00010644/clean	0	+	10	6.57574e-17	6.57574e-17	1	0.0121065	-	0.522727	1.66667	136	136	0.418034	NonUniformIntronCover	0.969697	78.2963	109	109
IV	3695133	3695213	Y37E11AL.3/WBGene00021359/clean	0	+	10	6.5985e-17	1	6.5985e-17	0.11814	NonUniformIntronCover	1	62.9643	470	470	0	-	0	0	421	421
II	6783559	6783708	T13C2.6/WBGene00020481/clean	0	+	10	4.2261e-16	4.2261e-16	1	0.0173627	NonUniformIntronCover	1	24.6842	1397	1397	0.103877	-	1	63.1754	545	545
IV	10091314	10091366	C04G2.2/WBGene00007305/clean	0	+	10	4.50954e-16	1	4.50954e-16	0.194245	NonUniformIntronCover	0.714286	27	112	112	0	-	0	0	352	352
V	18158121	18158172	clec-48/WBGene00007565/clean	0	+	10	4.7685e-16	4.7685e-16	1	0.138686	-	1	57	354	354	0.731343	NonUniformIntronCover	1	49	18	18
V	4827729	4827780	C37H5.5/WBGene00016508/clean	0	+	10	6.40616e-16	1	6.40616e-16	0.0499866	-	1	65.8235	1251	1251	0	-	0	0	903	903
I	4335040	4335092	anc-1/WBGene00000140/clean	0	+	10	9.20972e-16	9.20972e-16	1	0.00113422	NonUniformIntronCover	1	3	2642	2641	0.0234283	-	1	60	2501	2501
II	98559	98625	C50D2.5/WBGene00016808/clean	0	+	10	2.97204e-15	1	2.97204e-15	0.806384	NonUniformIntronCover	1	95.7917	23	23	0	-	0	0	49	49
V	11934255	11934307	F58H1.3/WBGene00010286/clean	0	+	10	3.28969e-15	3.28969e-15	1	0	-	0	0	104	104	0.568627	-	1	29	22	22
V	18899417	18899494	nhr-243/WBGene00013584/clean	0	-	10	5.712e-15	5.712e-15	1	0.0030838	NonUniformIntronCover	0.597015	0.740741	193	193	0.278988	-	1	44.1111	114	114
III	4905203	4905271	F26F4.8/WBGene00005011/clean	0	-	10	8.66352e-15	1	8.66352e-15	0.287582	-	1	44	109	109	0.0410959	NonUniformIntronCover	1	21	490	490
II	12996005	12996080	Y38F1A.6/WBGene00012608/clean	0	-	10	1.40536e-14	1.40536e-14	1	0.159493	-	1	92.2222	486	482	0.861301	-	1	37.2593	6	6
III	8308013	8308069	F10E9.5/WBGene00017357/clean	0	+	10	1.43798e-14	1.43798e-14	1	0.00405268	-	1	4	983	983	0.0651341	-	1	51	732	732
