V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
3380	I	12065908	12065928	20	G	4	255	+	I	12065910	12065931	21UR-803	255	+	2	-3
4495	I	13456680	13456740	60	A	1	255	+	I	13456682	13456703	21UR-139	255	+	2	37
4496	I	13456680	13456747	67	A	3	255	+	I	13456682	13456703	21UR-139	255	+	2	44
7887	I	3745499	3745544	45	A	2	255	+	I	3745501	3745522	21UR-11567	255	+	2	22
7888	I	3745499	3745556	57	A	3	255	+	I	3745501	3745522	21UR-11567	255	+	2	34
9751	I	5450433	5450503	70	A	2	255	+	I	5450435	5450456	21UR-14376	255	+	2	47
9805	I	5486064	5486092	28	G	1	255	+	I	5486066	5486087	21UR-12380	255	+	2	5
14022	I	7815025	7815044	19	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	-4
14024	I	7815025	7815060	35	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	12
14026	I	7815025	7815067	42	A	4	255	+	I	7815027	7815048	21UR-12756	255	+	2	19
14028	I	7815025	7815068	43	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	20
20987	II	14343051	14343072	21	G	3	255	+	II	14343053	14343074	21UR-11163	255	+	2	-2
22287	II	3373663	3373684	21	G	3	255	+	II	3373665	3373686	21UR-8285	255	+	2	-2
22405	II	3874371	3874390	19	G	1	255	+	II	3874373	3874394	21UR-2254	255	+	2	-4
22514	II	4113706	4113761	55	G	4	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
22515	II	4113706	4113769	63	G	2	255	+	II	4113708	4113729	21UR-5564	255	+	2	40
24575	II	5912548	5912569	21	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	-2
24576	II	5912548	5912571	23	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	0
24577	II	5912548	5912582	34	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
24578	II	5912548	5912583	35	A	9	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
24579	II	5912548	5912584	36	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
24580	II	5912548	5912585	37	A	32	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
24581	II	5912548	5912587	39	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	16
24582	II	5912548	5912591	43	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	20
24583	II	5912548	5912592	44	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	21
24584	II	5912548	5912595	47	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	24
24585	II	5912548	5912597	49	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
24586	II	5912548	5912598	50	A	7	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
24587	II	5912548	5912604	56	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	33
24588	II	5912548	5912608	60	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	37
24589	II	5912548	5912611	63	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	40
24590	II	5912548	5912612	64	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	41
24591	II	5912548	5912613	65	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	42
24592	II	5912548	5912614	66	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	43
24593	II	5912548	5912615	67	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	44
28799	III	10807479	10807497	18	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	-5
28801	III	10807479	10807498	19	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	-4
28803	III	10807479	10807499	20	A	18	255	+	III	10807481	10807502	21UR-9572	255	+	2	-3
28805	III	10807479	10807500	21	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	-2
28807	III	10807479	10807501	22	A	4	255	+	III	10807481	10807502	21UR-9572	255	+	2	-1
