V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
2712	I	10807231	10807253	22	C	3	255	+	I	10807233	10807254	21UR-459	255	+	2	-1
4765	I	13816997	13817027	30	A	3	255	+	I	13816999	13817020	21UR-15386	255	+	2	7
4766	I	13816997	13817044	47	A	1	255	+	I	13816999	13817020	21UR-15386	255	+	2	24
7641	I	3745499	3745557	58	A	2	255	+	I	3745501	3745522	21UR-11567	255	+	2	35
14164	I	7815025	7815043	18	A	5	255	+	I	7815027	7815048	21UR-12756	255	+	2	-5
14166	I	7815025	7815044	19	A	18	255	+	I	7815027	7815048	21UR-12756	255	+	2	-4
14168	I	7815025	7815045	20	A	4	255	+	I	7815027	7815048	21UR-12756	255	+	2	-3
14170	I	7815025	7815065	40	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	17
14172	I	7815025	7815067	42	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	19
14174	I	7815025	7815068	43	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	20
22778	II	3373663	3373684	21	G	1	255	+	II	3373665	3373686	21UR-8285	255	+	2	-2
22897	II	3874371	3874398	27	G	3	255	+	II	3874373	3874394	21UR-2254	255	+	2	4
23039	II	4113706	4113728	22	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	-1
23040	II	4113706	4113732	26	G	27	255	+	II	4113708	4113729	21UR-5564	255	+	2	3
23041	II	4113706	4113738	32	G	6	255	+	II	4113708	4113729	21UR-5564	255	+	2	9
23042	II	4113706	4113747	41	G	463	255	+	II	4113708	4113729	21UR-5564	255	+	2	18
23043	II	4113706	4113754	48	G	8	255	+	II	4113708	4113729	21UR-5564	255	+	2	25
23044	II	4113706	4113760	54	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	31
23045	II	4113706	4113761	55	G	4	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
23046	II	4113706	4113769	63	G	2	255	+	II	4113708	4113729	21UR-5564	255	+	2	40
25384	II	5912548	5912581	33	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	10
25385	II	5912548	5912582	34	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
25386	II	5912548	5912583	35	A	22	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
25387	II	5912548	5912584	36	A	12	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
25388	II	5912548	5912585	37	A	66	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
25389	II	5912548	5912587	39	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	16
25390	II	5912548	5912588	40	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	17
25391	II	5912548	5912589	41	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	18
25392	II	5912548	5912590	42	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	19
25393	II	5912548	5912591	43	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	20
25394	II	5912548	5912592	44	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	21
25395	II	5912548	5912593	45	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	22
25396	II	5912548	5912595	47	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	24
25397	II	5912548	5912596	48	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	25
25398	II	5912548	5912597	49	A	33	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
25399	II	5912548	5912598	50	A	32	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
25400	II	5912548	5912599	51	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	28
25401	II	5912548	5912603	55	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	32
25402	II	5912548	5912604	56	A	7	255	+	II	5912550	5912571	21UR-12205	255	+	2	33
25403	II	5912548	5912605	57	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	34
25404	II	5912548	5912607	59	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	36
25405	II	5912548	5912608	60	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	37
25406	II	5912548	5912609	61	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	38
25407	II	5912548	5912611	63	A	5	255	+	II	5912550	5912571	21UR-12205	255	+	2	40
25408	II	5912548	5912612	64	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	41
25409	II	5912548	5912613	65	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	42
25410	II	5912548	5912615	67	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	44
25411	II	5912548	5912616	68	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	45
29932	III	10807479	10807498	19	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	-4
29934	III	10807479	10807499	20	A	7	255	+	III	10807481	10807502	21UR-9572	255	+	2	-3
29936	III	10807479	10807500	21	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	-2
29938	III	10807479	10807501	22	A	5	255	+	III	10807481	10807502	21UR-9572	255	+	2	-1
29940	III	10807479	10807503	24	A	7	255	+	III	10807481	10807502	21UR-9572	255	+	2	1
29942	III	10807479	10807504	25	A	9	255	+	III	10807481	10807502	21UR-9572	255	+	2	2
29944	III	10807479	10807505	26	A	5	255	+	III	10807481	10807502	21UR-9572	255	+	2	3
29946	III	10807479	10807507	28	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	5
29948	III	10807479	10807508	29	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	6
29950	III	10807479	10807509	30	A	258	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
29952	III	10807479	10807510	31	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	8
29954	III	10807479	10807511	32	A	7	255	+	III	10807481	10807502	21UR-9572	255	+	2	9
29956	III	10807479	10807512	33	A	10	255	+	III	10807481	10807502	21UR-9572	255	+	2	10
29958	III	10807479	10807519	40	A	16	255	+	III	10807481	10807502	21UR-9572	255	+	2	17
29960	III	10807479	10807520	41	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	18
29962	III	10807479	10807523	44	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	21
39822	III	7190022	7190051	29	A	1	255	+	III	7190024	7190045	21UR-7304	255	+	2	6
39825	III	7190022	7190056	34	A	1	255	+	III	7190024	7190045	21UR-7304	255	+	2	11
39828	III	7190022	7190057	35	A	4	255	+	III	7190024	7190045	21UR-7304	255	+	2	12
39831	III	7190022	7190060	38	A	2	255	+	III	7190024	7190045	21UR-7304	255	+	2	15
39834	III	7190022	7190068	46	A	1	255	+	III	7190024	7190045	21UR-7304	255	+	2	23
39837	III	7190022	7190069	47	A	1	255	+	III	7190024	7190045	21UR-7304	255	+	2	24
39840	III	7190022	7190081	59	A	2	255	+	III	7190024	7190045	21UR-7304	255	+	2	36
39842	III	7190026	7190048	22	A	1	255	+	III	7190028	7190049	21UR-10581	255	+	2	-1
39845	III	7190026	7190059	33	A	1	255	+	III	7190028	7190049	21UR-10581	255	+	2	10
42563	III	8894238	8894280	42	A	2	255	+	III	8894240	8894261	21UR-14900	255	+	2	19
44660	IV	10711480	10711515	35	A	1	255	+	IV	10711482	10711503	21UR-14850	255	+	2	12
45453	IV	11276751	11276783	32	A	2	255	+	IV	11276753	11276774	21UR-10898	255	+	2	9
45454	IV	11276751	11276805	54	A	4	255	+	IV	11276753	11276774	21UR-10898	255	+	2	31
45456	IV	11276751	11276809	58	A	1	255	+	IV	11276753	11276774	21UR-10898	255	+	2	35
47204	IV	12386897	12386922	25	A	2	255	+	IV	12386899	12386920	21UR-6613	255	+	2	2
48251	IV	13362165	13362198	33	A	1	255	+	IV	13362167	13362188	21UR-8623	255	+	2	10
48333	IV	13600846	13600871	25	G	5	255	+	IV	13600848	13600869	21UR-3338	255	+	2	2
48335	IV	13600846	13600876	30	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	7
48337	IV	13600846	13600904	58	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	35
48339	IV	13600846	13600910	64	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	41
48342	IV	13600849	13600869	20	A	10	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-3
48344	IV	13600849	13600870	21	A	6	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
48346	IV	13600849	13600871	22	A	39	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-1
48348	IV	13600849	13600872	23	A	4	255	+	IV	13600851	13600872	21UR-2046	255	+	2	0
48350	IV	13600849	13600875	26	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	3
48352	IV	13600849	13600877	28	A	4	255	+	IV	13600851	13600872	21UR-2046	255	+	2	5
48354	IV	13600849	13600879	30	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	7
48356	IV	13600849	13600881	32	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	9
48358	IV	13600849	13600882	33	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	10
48363	IV	13601636	13601663	27	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	4
48364	IV	13601636	13601670	34	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	11
48365	IV	13601636	13601671	35	A	39	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
48366	IV	13601636	13601672	36	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	13
48367	IV	13601636	13601681	45	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	22
48368	IV	13601636	13601682	46	A	6	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
48369	IV	13601636	13601683	47	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
48370	IV	13601636	13601693	57	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	34
48371	IV	13601636	13601704	68	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	45
48447	IV	13616714	13616757	43	A	1	255	+	IV	13616716	13616737	21UR-10266	255	+	2	20
48576	IV	13643842	13643891	49	A	2	255	+	IV	13643844	13643865	21UR-7217	255	+	2	26
48590	IV	13651751	13651779	28	A	2	255	+	IV	13651753	13651774	21UR-5486	255	+	2	5
48593	IV	13651751	13651789	38	A	3	255	+	IV	13651753	13651774	21UR-5486	255	+	2	15
48596	IV	13651751	13651793	42	A	1	255	+	IV	13651753	13651774	21UR-5486	255	+	2	19
48599	IV	13651751	13651797	46	A	6	255	+	IV	13651753	13651774	21UR-5486	255	+	2	23
48644	IV	13682620	13682656	36	G	1	255	+	IV	13682622	13682643	21UR-7831	255	+	2	13
48645	IV	13684127	13684156	29	A	2	255	+	IV	13684129	13684150	21UR-12267	255	+	2	6
48655	IV	13691814	13691854	40	G	1	255	+	IV	13691816	13691837	21UR-1858	255	+	2	17
48656	IV	13693085	13693125	40	A	2	255	+	IV	13693087	13693108	21UR-509	255	+	2	17
48659	IV	13697149	13697196	47	A	1	255	+	IV	13697151	13697172	21UR-5222	255	+	2	24
48661	IV	13697149	13697198	49	A	1	255	+	IV	13697151	13697172	21UR-5222	255	+	2	26
48703	IV	13707546	13707574	28	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	5
48706	IV	13707546	13707578	32	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	9
48709	IV	13707546	13707586	40	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	17
48712	IV	13707546	13707588	42	A	3	255	+	IV	13707548	13707569	21UR-5826	255	+	2	19
48716	IV	13711930	13711960	30	G	1	255	+	IV	13711932	13711953	21UR-5510	255	+	2	7
48720	IV	13713180	13713210	30	G	1	255	+	IV	13713182	13713203	21UR-4776	255	+	2	7
48726	IV	13717963	13717999	36	G	1	255	+	IV	13717965	13717986	21UR-7732	255	+	2	13
48728	IV	13721176	13721203	27	G	2	255	+	IV	13721178	13721199	21UR-8457	255	+	2	4
48744	IV	13727407	13727441	34	A	1	255	+	IV	13727409	13727430	21UR-10856	255	+	2	11
48746	IV	13727772	13727830	58	A	1	255	+	IV	13727774	13727795	21UR-1610	255	+	2	35
48749	IV	13728253	13728272	19	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	-4
48751	IV	13728253	13728288	35	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	12
48753	IV	13733178	13733233	55	A	5	255	+	IV	13733180	13733201	21UR-280	255	+	2	32
