V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
1542	I	12652382	12652401	19	G	1	255	+	I	12652384	12652405	21UR-12279	255	+	2	-4
1543	I	12652382	12652402	20	G	6	255	+	I	12652384	12652405	21UR-12279	255	+	2	-3
1624	I	13456680	13456747	67	A	3	255	+	I	13456682	13456703	21UR-139	255	+	2	44
1669	I	13781328	13781351	23	G	1	255	+	I	13781330	13781351	21UR-15569	255	+	2	0
3446	I	3745499	3745557	58	A	4	255	+	I	3745501	3745522	21UR-11567	255	+	2	35
3613	I	4893417	4893467	50	A	1	255	+	I	4893419	4893440	21UR-10520	255	+	2	27
7046	II	3373663	3373684	21	G	12	255	+	II	3373665	3373686	21UR-8285	255	+	2	-2
7097	II	4113706	4113749	43	G	17	255	+	II	4113708	4113729	21UR-5564	255	+	2	20
7098	II	4113706	4113753	47	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	24
7099	II	4113706	4113760	54	G	4	255	+	II	4113708	4113729	21UR-5564	255	+	2	31
7100	II	4113706	4113761	55	G	6	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
7101	II	4113706	4113762	56	G	11	255	+	II	4113708	4113729	21UR-5564	255	+	2	33
8099	II	5912548	5912574	26	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	3
8100	II	5912548	5912582	34	A	14	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
8101	II	5912548	5912584	36	A	22	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
8102	II	5912548	5912585	37	A	10	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
8103	II	5912548	5912587	39	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	16
8104	II	5912548	5912597	49	A	11	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
8105	II	5912548	5912598	50	A	26	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
8106	II	5912548	5912606	58	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	35
8107	II	5912548	5912608	60	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	37
8108	II	5912548	5912611	63	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	40
8109	II	5912548	5912612	64	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	41
8110	II	5912548	5912613	65	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	42
8111	II	5912548	5912614	66	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	43
8112	II	5912548	5912615	67	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	44
8113	II	5912548	5912618	70	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	47
8114	II	5912548	5912619	71	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	48
8115	II	5912548	5912623	75	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	52
8936	III	10807479	10807520	41	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	18
12042	IV	11276751	11276796	45	A	1	255	+	IV	11276753	11276774	21UR-10898	255	+	2	22
12044	IV	11276751	11276806	55	A	2	255	+	IV	11276753	11276774	21UR-10898	255	+	2	32
12719	IV	13600846	13600869	23	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	0
12721	IV	13600846	13600876	30	G	6	255	+	IV	13600848	13600869	21UR-3338	255	+	2	7
12723	IV	13600846	13600896	50	G	3	255	+	IV	13600848	13600869	21UR-3338	255	+	2	27
12725	IV	13600846	13600900	54	G	3	255	+	IV	13600848	13600869	21UR-3338	255	+	2	31
12727	IV	13600846	13600903	57	G	17	255	+	IV	13600848	13600869	21UR-3338	255	+	2	34
12729	IV	13600846	13600904	58	G	69	255	+	IV	13600848	13600869	21UR-3338	255	+	2	35
12731	IV	13600846	13600905	59	G	16	255	+	IV	13600848	13600869	21UR-3338	255	+	2	36
12733	IV	13600846	13600908	62	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	39
12735	IV	13600846	13600910	64	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	41
12737	IV	13600846	13600912	66	G	3	255	+	IV	13600848	13600869	21UR-3338	255	+	2	43
12739	IV	13600846	13600921	75	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	52
12742	IV	13600849	13600872	23	A	7	255	+	IV	13600851	13600872	21UR-2046	255	+	2	0
12744	IV	13600849	13600875	26	A	5	255	+	IV	13600851	13600872	21UR-2046	255	+	2	3
12746	IV	13600849	13600880	31	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	8
12748	IV	13600849	13600882	33	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	10
12750	IV	13600849	13600890	41	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	18
12752	IV	13600849	13600905	56	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	33
12754	IV	13600849	13600912	63	A	3	255	+	IV	13600851	13600872	21UR-2046	255	+	2	40
12756	IV	13600849	13600913	64	A	6	255	+	IV	13600851	13600872	21UR-2046	255	+	2	41
12758	IV	13600849	13600914	65	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	42
12782	IV	13601636	13601671	35	A	52	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
12783	IV	13601636	13601672	36	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	13
12784	IV	13601636	13601675	39	A	14	255	+	IV	13601638	13601659	21UR-3398	255	+	2	16
12785	IV	13601636	13601681	45	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	22
12786	IV	13601636	13601682	46	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
12787	IV	13601636	13601683	47	A	7	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
12788	IV	13601636	13601693	57	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	34
12789	IV	13601636	13601694	58	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	35
12790	IV	13601636	13601696	60	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	37
12791	IV	13601636	13601702	66	A	10	255	+	IV	13601638	13601659	21UR-3398	255	+	2	43
12792	IV	13601636	13601703	67	A	77	255	+	IV	13601638	13601659	21UR-3398	255	+	2	44
12793	IV	13601636	13601704	68	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	45
12906	IV	13616714	13616745	31	A	4	255	+	IV	13616716	13616737	21UR-10266	255	+	2	8
12908	IV	13616714	13616749	35	A	4	255	+	IV	13616716	13616737	21UR-10266	255	+	2	12
12953	IV	13643842	13643869	27	A	2	255	+	IV	13643844	13643865	21UR-7217	255	+	2	4
12954	IV	13643842	13643871	29	A	2	255	+	IV	13643844	13643865	21UR-7217	255	+	2	6
12955	IV	13645442	13645467	25	A	4	255	+	IV	13645444	13645465	21UR-6587	255	+	2	2
12960	IV	13646544	13646575	31	A	1	255	+	IV	13646546	13646567	21UR-3984	255	+	2	8
12967	IV	13649446	13649498	52	G	1	255	+	IV	13649448	13649469	21UR-7739	255	+	2	29
12971	IV	13651751	13651790	39	A	4	255	+	IV	13651753	13651774	21UR-5486	255	+	2	16
12973	IV	13660635	13660700	65	A	3	255	+	IV	13660637	13660658	21UR-10169	255	+	2	42
12977	IV	13676025	13676045	20	A	1	255	+	IV	13676027	13676048	21UR-3315	255	+	2	-3
12982	IV	13680502	13680530	28	G	1	255	+	IV	13680504	13680525	21UR-70	255	+	2	5
12986	IV	13681891	13681925	34	A	8	255	+	IV	13681893	13681914	21UR-5359	255	+	2	11
12988	IV	13682257	13682303	46	G	5	255	+	IV	13682259	13682280	21UR-5388	255	+	2	23
12990	IV	13683231	13683285	54	A	4	255	+	IV	13683233	13683254	21UR-168	255	+	2	31
13001	IV	13698872	13698908	36	G	2	255	+	IV	13698874	13698895	21UR-500	255	+	2	13
13015	IV	13707546	13707588	42	A	3	255	+	IV	13707548	13707569	21UR-5826	255	+	2	19
13018	IV	13707546	13707591	45	A	2	255	+	IV	13707548	13707569	21UR-5826	255	+	2	22
13021	IV	13707546	13707610	64	A	3	255	+	IV	13707548	13707569	21UR-5826	255	+	2	41
13028	IV	13717963	13718013	50	G	1	255	+	IV	13717965	13717986	21UR-7732	255	+	2	27
13045	IV	13728253	13728294	41	A	2	255	+	IV	13728255	13728276	21UR-5733	255	+	2	18
13046	IV	13730617	13730660	43	G	3	255	+	IV	13730619	13730640	21UR-2894	255	+	2	20
13047	IV	13730617	13730667	50	G	2	255	+	IV	13730619	13730640	21UR-2894	255	+	2	27
13048	IV	13732430	13732454	24	A	5	255	+	IV	13732432	13732453	21UR-429	255	+	2	1
13049	IV	13732430	13732463	33	A	9	255	+	IV	13732432	13732453	21UR-429	255	+	2	10
13056	IV	13743063	13743096	33	A	6	255	+	IV	13743065	13743086	21UR-7700	255	+	2	10
13059	IV	13744121	13744140	19	A	4	255	+	IV	13744123	13744144	21UR-5360	255	+	2	-4
13060	IV	13744121	13744142	21	A	9	255	+	IV	13744123	13744144	21UR-5360	255	+	2	-2
13061	IV	13744121	13744188	67	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	44
13062	IV	13744121	13744190	69	A	3	255	+	IV	13744123	13744144	21UR-5360	255	+	2	46
13065	IV	13746707	13746754	47	A	2	255	+	IV	13746709	13746730	21UR-5606	255	+	2	24
13077	IV	13754641	13754659	18	A	4	255	+	IV	13754643	13754664	21UR-12241	255	+	2	-5
13088	IV	13759236	13759272	36	A	1	255	+	IV	13759238	13759259	21UR-5244	255	+	2	13
13091	IV	13760015	13760039	24	A	1	255	+	IV	13760017	13760038	21UR-3394	255	+	2	1
13093	IV	13760015	13760050	35	A	1	255	+	IV	13760017	13760038	21UR-3394	255	+	2	12
13108	IV	13768610	13768639	29	A	7	255	+	IV	13768612	13768633	21UR-5145	255	+	2	6
13110	IV	13768610	13768649	39	A	2	255	+	IV	13768612	13768633	21UR-5145	255	+	2	16
13130	IV	13820366	13820394	28	A	2	255	+	IV	13820368	13820389	21UR-3377	255	+	2	5
13131	IV	13820366	13820396	30	A	3	255	+	IV	13820368	13820389	21UR-3377	255	+	2	7
