V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
1604	I	13456680	13456716	36	A	3	255	+	I	13456682	13456703	21UR-139	255	+	2	13
4131	I	7815025	7815049	24	A	3	255	+	I	7815027	7815048	21UR-12756	255	+	2	1
6322	II	3373663	3373683	20	G	1	255	+	II	3373665	3373686	21UR-8285	255	+	2	-3
7195	II	5912548	5912576	28	A	9	255	+	II	5912550	5912571	21UR-12205	255	+	2	5
7196	II	5912548	5912578	30	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	7
7197	II	5912548	5912581	33	A	5	255	+	II	5912550	5912571	21UR-12205	255	+	2	10
7198	II	5912548	5912582	34	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
7199	II	5912548	5912583	35	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
7200	II	5912548	5912584	36	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
7201	II	5912548	5912585	37	A	15	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
7202	II	5912548	5912586	38	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	15
7203	II	5912548	5912589	41	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	18
7204	II	5912548	5912590	42	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	19
7205	II	5912548	5912593	45	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	22
7206	II	5912548	5912596	48	A	9	255	+	II	5912550	5912571	21UR-12205	255	+	2	25
7207	II	5912548	5912597	49	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
7208	II	5912548	5912598	50	A	51	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
7209	II	5912548	5912599	51	A	7	255	+	II	5912550	5912571	21UR-12205	255	+	2	28
7210	II	5912548	5912604	56	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	33
7211	II	5912548	5912605	57	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	34
