V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
4369	I	13456680	13456703	23	A	2	255	+	I	13456682	13456703	21UR-139	255	+	2	0
4651	I	13781328	13781351	23	G	6	255	+	I	13781330	13781351	21UR-15569	255	+	2	0
4670	I	13816997	13817027	30	A	5	255	+	I	13816999	13817020	21UR-15386	255	+	2	7
4671	I	13816997	13817045	48	A	9	255	+	I	13816999	13817020	21UR-15386	255	+	2	25
4672	I	13816997	13817050	53	A	4	255	+	I	13816999	13817020	21UR-15386	255	+	2	30
4673	I	13816997	13817061	64	A	1	255	+	I	13816999	13817020	21UR-15386	255	+	2	41
7464	I	3745499	3745536	37	A	5	255	+	I	3745501	3745522	21UR-11567	255	+	2	14
7465	I	3745499	3745537	38	A	4	255	+	I	3745501	3745522	21UR-11567	255	+	2	15
7466	I	3745499	3745544	45	A	2	255	+	I	3745501	3745522	21UR-11567	255	+	2	22
7467	I	3745499	3745545	46	A	3	255	+	I	3745501	3745522	21UR-11567	255	+	2	23
7468	I	3745499	3745555	56	A	8	255	+	I	3745501	3745522	21UR-11567	255	+	2	33
7469	I	3745499	3745557	58	A	3	255	+	I	3745501	3745522	21UR-11567	255	+	2	35
7470	I	3745499	3745560	61	A	2	255	+	I	3745501	3745522	21UR-11567	255	+	2	38
7471	I	3745499	3745561	62	A	1	255	+	I	3745501	3745522	21UR-11567	255	+	2	39
13192	I	7815025	7815043	18	A	6	255	+	I	7815027	7815048	21UR-12756	255	+	2	-5
13194	I	7815025	7815044	19	A	11	255	+	I	7815027	7815048	21UR-12756	255	+	2	-4
13196	I	7815025	7815067	42	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	19
13198	I	7815025	7815068	43	A	5	255	+	I	7815027	7815048	21UR-12756	255	+	2	20
13200	I	7815025	7815070	45	A	3	255	+	I	7815027	7815048	21UR-12756	255	+	2	22
13202	I	7815025	7815072	47	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	24
19076	II	13058796	13058834	38	A	1	255	+	II	13058798	13058819	21UR-12112	255	+	2	15
21343	II	4113706	4113739	33	G	18	255	+	II	4113708	4113729	21UR-5564	255	+	2	10
21344	II	4113706	4113753	47	G	66	255	+	II	4113708	4113729	21UR-5564	255	+	2	24
21345	II	4113706	4113761	55	G	16	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
21346	II	4113706	4113764	58	G	12	255	+	II	4113708	4113729	21UR-5564	255	+	2	35
21347	II	4113706	4113769	63	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	40
21348	II	4113706	4113773	67	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	44
21349	II	4113706	4113776	70	G	3	255	+	II	4113708	4113729	21UR-5564	255	+	2	47
23896	II	5912548	5912569	21	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	-2
23897	II	5912548	5912572	24	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	1
23898	II	5912548	5912581	33	A	10	255	+	II	5912550	5912571	21UR-12205	255	+	2	10
23899	II	5912548	5912582	34	A	10	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
23900	II	5912548	5912583	35	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
