pos	N2_EV	N2_RNAi	TFIIS_EV	TFIIS_RNAi	total	name
163	chrI,12652385,12652405	1.06292353937271	0.604893039717583	1.07435296327231	0.141942440360852	0	21UR
216	chrI,13817000,13817020	0	0	0	0.296326800914182	0	21UR
397	chrI,3697596,3697616	0	0.228887378068064	0	0.168278875334616	0	21UR
403	chrI,3745502,3745522	0	0.225939881289921	2.86538980710312	0.502170877815015	0	21UR
464	chrI,4584768,4584788	0.8608963817171	1.99672864109965	0	1.27937813398014	0	21UR
544	chrI,5486067,5486087	0.901262298075213	1.17565545431628	0	0.27723283258608	0.102779427953268	21UR
656	chrI,6562649,6562669	0	0	0	0.0388468926183482	0	21UR
759	chrI,7279603,7279623	0.268583053766496	2.23181885568715	1.24651621391793	5.10296669904366	0	21UR
812	chrI,7815028,7815048	6.82278103246565	2.26491608026523	2.05371489443051	0.868159674041981	0.571578061399773	21UR
929	chrI,9004497,9004517	0	0.185548596553252	0	0.490069621773464	0	21UR
973	chrI,9518891,9518911	1.97003064607271	0	1.88030452471385	0.0315943402831743	0	21UR
1228	chrII,1320733,1320753	0	0	0	0.271100303363184	0	21UR
1386	chrII,4113709,4113729	1.02146825693849	5.16334600434235	0	15.2661357969697	0	21UR
1452	chrII,5062095,5062115	0.0587548273323665	0.225939881289921	1.07435296327231	0.309947195981532	0	21UR
1506	chrII,5912551,5912571	0	0.831899311188857	0	0	0	21UR
1583	chrII,6893972,6893992	0.262842535229528	0	0	0	0	21UR
1592	chrII,6968318,6968338	0	0	0.674233612612891	0	0	21UR
1665	chrII,7900666,7900686	0	0	0	0.244364370526005	0	21UR
1743	chrII,9108579,9108599	0.259068067554858	1.88538450789499	0	1.36792608322735	0	21UR
1783	chrII,9716752,9716772	0.405759386652139	0	0	0	0	21UR
1851	chrIII,10807482,10807502	4.71011181520565	1.0983273029665	7.84372208650394	0.0315943402831743	0	21UR
2031	chrIII,2461672,2461692	0	0	1.24651621391793	0.211236081092168	0	21UR
2260	chrIII,5507998,5508018	0.0587548273323665	0	0	0.245705251247459	0	21UR
2318	chrIII,6149534,6149554	1.16760164298539	0	2.16943418851253	0	0	21UR
2425	chrIII,7190025,7190045	0	3.29115888840744	0.109617817882117	0.49357398790235	0	21UR
2426	chrIII,7190029,7190049	0.0587548273323665	0	0	0.379514956426784	0	21UR
2501	chrIII,7933365,7933385	0	1.04084148645573	0	0.845390019356414	0	21UR
2690	chrIV,10085463,10085483	0.217553865407833	0.225939881289921	0	0	0.662498356116253	21UR
2772	chrIV,11173470,11173490	0	0	0	0.0388468926183482	0	piRNA_type1
2779	chrIV,11245757,11245777	0	0	0	0.088107294347716	0	21UR
2780	chrIV,11245849,11245869	0	0	0	0.69016602272345	0	21UR
2782	chrIV,11276754,11276774	0	0.342100999243443	0	0	0	21UR
2833	chrIV,11774085,11774105	0	0.560616474739785	0	0.565227947895085	0	piRNA_type1
2869	chrIV,12123161,12123181	0.647650646269505	0.955642334296571	0.503664295315236	0.61385397536261	0	piRNA_type1
2878	chrIV,12268648,12268668	0.16580116207685	0.100637770012422	0.503664295315236	0.14399537281445	0	21UR
2925	chrIV,12893483,12893503	0.34977245535581	0.63074092640617	0	0	0	piRNA_type1
2966	chrIV,13600849,13600869	1.91365428431199	28.7109335202049	0	54.0023690728929	3.26317061507096	21UR
2967	chrIV,13600852,13600872	1.0881501650131	5.99602847451128	0.0542852270387814	18.1545748551127	0.102779427953268	21UR
2968	chrIV,13601639,13601659	1.64139840876671	16.8872300904882	0	29.1957801145309	0	21UR
2973	chrIV,13649216,13649236	1.33369777394521	21.3382968508334	7.84372208650394	16.6222667172429	0	21UR
2974	chrIV,13649449,13649469	0	0	0	0.444896352078708	0	21UR
2978	chrIV,13682260,13682280	0.0587548273323665	0	0	0.194323719928095	0	21UR
2979	chrIV,13685033,13685053	0	0	0	0.0603430180117605	0	21UR
2980	chrIV,13689238,13689258	0	0	0	0.0603430180117605	0	21UR
2981	chrIV,13692200,13692220	0	0	0	0.168278875334616	0	21UR
2982	chrIV,13693910,13693930	0	0	0	0.420416967359265	0	21UR
2983	chrIV,13694376,13694396	0	0	0	0.074791528833565	0	21UR
2984	chrIV,13698875,13698895	0	0	0	0.73246708227046	0	21UR
2985	chrIV,13700230,13700250	0	0	0	0.70886133359232	0	21UR
2986	chrIV,13702436,13702456	0.0587548273323665	0	0	0.661479240232525	0	21UR
2987	chrIV,13711251,13711271	0	0	0	0.168278875334616	0	21UR
2988	chrIV,13711413,13711433	0	0.304066928546372	0	0	0	21UR
2989	chrIV,13716376,13716396	0	0	0	0.271100303363184	0	21UR
2990	chrIV,13723396,13723416	0	0	0	0.87302924445876	0	21UR
2991	chrIV,13726636,13726656	0	0	0	0.406690687075241	0	21UR
2992	chrIV,13727775,13727795	0	0	0	0.757849348177061	0	21UR
