V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
1167	I	12652382	12652406	24	G	7	255	+	I	12652384	12652405	21UR-12279	255	+	2	1
1168	I	12652382	12652409	27	G	1	255	+	I	12652384	12652405	21UR-12279	255	+	2	4
2434	I	7815025	7815056	31	A	5	255	+	I	7815027	7815048	21UR-12756	255	+	2	8
3804	II	4113706	4113732	26	G	5	255	+	II	4113708	4113729	21UR-5564	255	+	2	3
4579	III	10807479	10807498	19	A	4	255	+	III	10807481	10807502	21UR-9572	255	+	2	-4
5565	III	7190022	7190081	59	A	2	255	+	III	7190024	7190045	21UR-7304	255	+	2	36
6328	IV	13600846	13600869	23	G	5	255	+	IV	13600848	13600869	21UR-3338	255	+	2	0
6330	IV	13600846	13600918	72	G	3	255	+	IV	13600848	13600869	21UR-3338	255	+	2	49
6333	IV	13600849	13600870	21	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
6335	IV	13600849	13600871	22	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-1
6340	IV	13601636	13601671	35	A	16	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
6341	IV	13601636	13601674	38	A	6	255	+	IV	13601638	13601659	21UR-3398	255	+	2	15
6342	IV	13601636	13601683	47	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
6343	IV	13601636	13601685	49	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	26
6344	IV	13601636	13601693	57	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	34
6345	IV	13601636	13601694	58	A	8	255	+	IV	13601638	13601659	21UR-3398	255	+	2	35
6346	IV	13601636	13601703	67	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	44
6426	IV	13604752	13604771	19	G	4	255	+	IV	13604754	13604775	21UR-9244	255	+	2	-4
6428	IV	13608797	13608843	46	G	3	255	+	IV	13608799	13608820	21UR-4428	255	+	2	23
6442	IV	13651751	13651777	26	A	3	255	+	IV	13651753	13651774	21UR-5486	255	+	2	3
6452	IV	13689778	13689805	27	A	1	255	+	IV	13689780	13689801	21UR-5024	255	+	2	4
6470	IV	13707546	13707574	28	A	8	255	+	IV	13707548	13707569	21UR-5826	255	+	2	5
6473	IV	13707546	13707575	29	A	5	255	+	IV	13707548	13707569	21UR-5826	255	+	2	6
6476	IV	13707546	13707577	31	A	10	255	+	IV	13707548	13707569	21UR-5826	255	+	2	8
6479	IV	13707546	13707579	33	A	4	255	+	IV	13707548	13707569	21UR-5826	255	+	2	10
6498	IV	13728253	13728279	26	A	2	255	+	IV	13728255	13728276	21UR-5733	255	+	2	3
6509	IV	13757754	13757772	18	A	3	255	+	IV	13757756	13757777	21UR-1129	255	+	2	-5
