V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
1512	I	12652382	12652419	37	G	1	255	+	I	12652384	12652405	21UR-12279	255	+	2	14
1647	I	13781328	13781351	23	G	3	255	+	I	13781330	13781351	21UR-15569	255	+	2	0
3627	I	7815025	7815043	18	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	-5
3629	I	7815025	7815044	19	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	-4
5527	II	3874371	3874394	23	G	4	255	+	II	3874373	3874394	21UR-2254	255	+	2	0
5528	II	3874371	3874396	25	G	1	255	+	II	3874373	3874394	21UR-2254	255	+	2	2
5541	II	4113706	4113749	43	G	6	255	+	II	4113708	4113729	21UR-5564	255	+	2	20
6127	II	5912548	5912589	41	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	18
6128	II	5912548	5912597	49	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
6129	II	5912548	5912598	50	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
6879	III	10807479	10807509	30	A	5	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
10002	IV	13600846	13600870	24	G	4	255	+	IV	13600848	13600869	21UR-3338	255	+	2	1
10004	IV	13600846	13600871	25	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	2
10006	IV	13600846	13600874	28	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	5
10008	IV	13600846	13600880	34	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	11
10011	IV	13600849	13600869	20	A	13	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-3
10013	IV	13600849	13600870	21	A	3	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
10015	IV	13600849	13600871	22	A	5	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-1
10017	IV	13600849	13600872	23	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	0
10019	IV	13600849	13600874	25	A	10	255	+	IV	13600851	13600872	21UR-2046	255	+	2	2
10021	IV	13600849	13600877	28	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	5
10023	IV	13600849	13600880	31	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	8
10025	IV	13600849	13600886	37	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	14
10034	IV	13601636	13601668	32	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	9
10035	IV	13601636	13601670	34	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	11
10036	IV	13601636	13601671	35	A	26	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
10037	IV	13601636	13601674	38	A	5	255	+	IV	13601638	13601659	21UR-3398	255	+	2	15
10038	IV	13601636	13601675	39	A	7	255	+	IV	13601638	13601659	21UR-3398	255	+	2	16
10039	IV	13601636	13601676	40	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	17
10040	IV	13601636	13601680	44	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	21
10041	IV	13601636	13601681	45	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	22
10042	IV	13601636	13601682	46	A	6	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
10043	IV	13601636	13601683	47	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
10044	IV	13601636	13601692	56	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	33
10045	IV	13601636	13601693	57	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	34
10046	IV	13601636	13601703	67	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	44
10119	IV	13615035	13615062	27	A	1	255	+	IV	13615037	13615058	21UR-6301	255	+	2	4
10122	IV	13624675	13624702	27	A	1	255	+	IV	13624677	13624698	21UR-8414	255	+	2	4
10124	IV	13624878	13624903	25	A	5	255	+	IV	13624880	13624901	21UR-2411	255	+	2	2
10163	IV	13641480	13641503	23	A	2	255	+	IV	13641482	13641503	21UR-2130	255	+	2	0
10167	IV	13646544	13646571	27	A	2	255	+	IV	13646546	13646567	21UR-3984	255	+	2	4
10169	IV	13651751	13651776	25	A	1	255	+	IV	13651753	13651774	21UR-5486	255	+	2	2
10172	IV	13651751	13651777	26	A	3	255	+	IV	13651753	13651774	21UR-5486	255	+	2	3
10187	IV	13689778	13689807	29	A	1	255	+	IV	13689780	13689801	21UR-5024	255	+	2	6
10190	IV	13693085	13693111	26	A	9	255	+	IV	13693087	13693108	21UR-509	255	+	2	3
10191	IV	13693085	13693113	28	A	7	255	+	IV	13693087	13693108	21UR-509	255	+	2	5
10192	IV	13693085	13693114	29	A	8	255	+	IV	13693087	13693108	21UR-509	255	+	2	6
10233	IV	13706184	13706212	28	G	1	255	+	IV	13706186	13706207	21UR-2851	255	+	2	5
10253	IV	13707546	13707573	27	A	3	255	+	IV	13707548	13707569	21UR-5826	255	+	2	4
10256	IV	13707546	13707574	28	A	2	255	+	IV	13707548	13707569	21UR-5826	255	+	2	5
10259	IV	13707546	13707577	31	A	3	255	+	IV	13707548	13707569	21UR-5826	255	+	2	8
10262	IV	13707546	13707579	33	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	10
10265	IV	13707546	13707580	34	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	11
10268	IV	13707546	13707588	42	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	19
10271	IV	13707546	13707590	44	A	4	255	+	IV	13707548	13707569	21UR-5826	255	+	2	21
10293	IV	13713177	13713205	28	A	4	255	+	IV	13713179	13713200	21UR-1776	255	+	2	5
10294	IV	13713180	13713205	25	G	4	255	+	IV	13713182	13713203	21UR-4776	255	+	2	2
10296	IV	13713180	13713207	27	G	2	255	+	IV	13713182	13713203	21UR-4776	255	+	2	4
10298	IV	13713180	13713208	28	G	2	255	+	IV	13713182	13713203	21UR-4776	255	+	2	5
10300	IV	13713180	13713209	29	G	3	255	+	IV	13713182	13713203	21UR-4776	255	+	2	6
10303	IV	13715643	13715667	24	A	1	255	+	IV	13715645	13715666	21UR-242	255	+	2	1
10306	IV	13717963	13717992	29	G	1	255	+	IV	13717965	13717986	21UR-7732	255	+	2	6
