V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
5331	I	12652382	12652402	20	G	1	255	+	I	12652384	12652405	21UR-12279	255	+	2	-3
18225	I	7815025	7815043	18	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	-5
18227	I	7815025	7815044	19	A	16	255	+	I	7815027	7815048	21UR-12756	255	+	2	-4
18229	I	7815025	7815046	21	A	3	255	+	I	7815027	7815048	21UR-12756	255	+	2	-2
18231	I	7815025	7815056	31	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	8
18233	I	7815025	7815059	34	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	11
18235	I	7815025	7815060	35	A	3	255	+	I	7815027	7815048	21UR-12756	255	+	2	12
18237	I	7815025	7815067	42	A	4	255	+	I	7815027	7815048	21UR-12756	255	+	2	19
18239	I	7815025	7815068	43	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	20
18241	I	7815025	7815070	45	A	6	255	+	I	7815027	7815048	21UR-12756	255	+	2	22
18243	I	7815025	7815071	46	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	23
28723	II	3373663	3373683	20	G	5	255	+	II	3373665	3373686	21UR-8285	255	+	2	-3
28906	II	3874371	3874396	25	G	1	255	+	II	3874373	3874394	21UR-2254	255	+	2	2
29024	II	4113706	4113744	38	G	37	255	+	II	4113708	4113729	21UR-5564	255	+	2	15
29025	II	4113706	4113748	42	G	106	255	+	II	4113708	4113729	21UR-5564	255	+	2	19
29026	II	4113706	4113751	45	G	18	255	+	II	4113708	4113729	21UR-5564	255	+	2	22
29027	II	4113706	4113758	52	G	39	255	+	II	4113708	4113729	21UR-5564	255	+	2	29
29028	II	4113706	4113760	54	G	5	255	+	II	4113708	4113729	21UR-5564	255	+	2	31
29029	II	4113706	4113761	55	G	12	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
29030	II	4113706	4113767	61	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	38
29031	II	4113706	4113769	63	G	5	255	+	II	4113708	4113729	21UR-5564	255	+	2	40
29032	II	4113706	4113770	64	G	3	255	+	II	4113708	4113729	21UR-5564	255	+	2	41
29033	II	4113706	4113771	65	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	42
31702	II	5912548	5912583	35	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
31703	II	5912548	5912584	36	A	5	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
31704	II	5912548	5912585	37	A	14	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
31705	II	5912548	5912587	39	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	16
31706	II	5912548	5912588	40	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	17
