V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
552	I	13456680	13456740	60	A	1	255	+	I	13456682	13456703	21UR-139	255	+	2	37
1368	I	3745499	3745546	47	A	5	255	+	I	3745501	3745522	21UR-11567	255	+	2	24
1369	I	3745499	3745564	65	A	1	255	+	I	3745501	3745522	21UR-11567	255	+	2	42
2668	III	10807479	10807509	30	A	4	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
3577	IV	13601636	13601692	56	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	33
3599	IV	13651751	13651777	26	A	1	255	+	IV	13651753	13651774	21UR-5486	255	+	2	3
3602	IV	13651751	13651807	56	A	2	255	+	IV	13651753	13651774	21UR-5486	255	+	2	33
3607	IV	13683846	13683908	62	A	3	255	+	IV	13683848	13683869	21UR-8587	255	+	2	39
3608	IV	13691585	13691647	62	A	2	255	+	IV	13691587	13691608	21UR-661	255	+	2	39
3615	IV	13733178	13733235	57	A	2	255	+	IV	13733180	13733201	21UR-280	255	+	2	34
3616	IV	13744121	13744188	67	A	3	255	+	IV	13744123	13744144	21UR-5360	255	+	2	44
3617	IV	13744121	13744190	69	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	46
3623	IV	13820366	13820417	51	A	2	255	+	IV	13820368	13820389	21UR-3377	255	+	2	28
3626	IV	13823867	13823921	54	A	4	255	+	IV	13823869	13823890	21UR-2106	255	+	2	31
3639	IV	13901422	13901442	20	G	3	255	+	IV	13901424	13901445	21UR-7393	255	+	2	-3
3647	IV	13928250	13928304	54	G	3	255	+	IV	13928252	13928273	21UR-122	255	+	2	31
3700	IV	14053267	14053300	33	G	4	255	+	IV	14053269	14053290	21UR-975	255	+	2	10
3701	IV	14085766	14085820	54	G	2	255	+	IV	14085768	14085789	21UR-8535	255	+	2	31
3725	IV	14144310	14144331	21	G	2	255	+	IV	14144312	14144333	21UR-5576	255	+	2	-2
3726	IV	14179280	14179325	45	A	3	255	+	IV	14179282	14179303	21UR-4108	255	+	2	22
3730	IV	14202376	14202405	29	A	9	255	+	IV	14202378	14202399	21UR-6845	255	+	2	6
3733	IV	14202376	14202425	49	A	6	255	+	IV	14202378	14202399	21UR-6845	255	+	2	26
3759	IV	14241875	14241926	51	A	1	255	+	IV	14241877	14241898	21UR-1577	255	+	2	28
3767	IV	14242652	14242682	30	A	1	255	+	IV	14242654	14242675	21UR-3957	255	+	2	7
3786	IV	14340456	14340479	23	A	3	255	+	IV	14340458	14340479	21UR-5604	255	+	2	0
3794	IV	14391606	14391670	64	A	3	255	+	IV	14391608	14391629	21UR-6255	255	+	2	41
3805	IV	14449827	14449894	67	A	2	255	+	IV	14449829	14449850	21UR-9943	255	+	2	44
3813	IV	14470639	14470663	24	A	2	255	+	IV	14470641	14470662	21UR-3971	255	+	2	1
3834	IV	14495455	14495485	30	A	4	255	+	IV	14495457	14495478	21UR-1793	255	+	2	7
3835	IV	14495455	14495514	59	A	3	255	+	IV	14495457	14495478	21UR-1793	255	+	2	36
3838	IV	14499251	14499296	45	A	1	255	+	IV	14499253	14499274	21UR-1668	255	+	2	22
3839	IV	14499251	14499300	49	A	6	255	+	IV	14499253	14499274	21UR-1668	255	+	2	26
3840	IV	14499251	14499308	57	A	2	255	+	IV	14499253	14499274	21UR-1668	255	+	2	34
3841	IV	14499251	14499309	58	A	4	255	+	IV	14499253	14499274	21UR-1668	255	+	2	35
3847	IV	14514353	14514386	33	A	4	255	+	IV	14514355	14514376	21UR-8083	255	+	2	10
3848	IV	14514353	14514401	48	A	4	255	+	IV	14514355	14514376	21UR-8083	255	+	2	25
3854	IV	14526832	14526875	43	G	1	255	+	IV	14526834	14526855	21UR-5242	255	+	2	20
3859	IV	14595430	14595476	46	A	1	255	+	IV	14595432	14595453	21UR-5791	255	+	2	23
3865	IV	14634030	14634056	26	A	1	255	+	IV	14634032	14634053	21UR-3736	255	+	2	3
3883	IV	14734211	14734269	58	A	1	255	+	IV	14734213	14734234	21UR-32	255	+	2	35
3887	IV	14741435	14741460	25	A	2	255	+	IV	14741437	14741458	21UR-1697	255	+	2	2
3895	IV	14745185	14745232	47	A	1	255	+	IV	14745187	14745208	21UR-13093	255	+	2	24
3897	IV	14745189	14745222	33	A	2	255	+	IV	14745191	14745212	21UR-826	255	+	2	10
3903	IV	14745711	14745748	37	A	1	255	+	IV	14745713	14745734	21UR-2809	255	+	2	14
3952	IV	14864743	14864769	26	A	54	255	+	IV	14864745	14864766	21UR-458	255	+	2	3
3953	IV	14864743	14864780	37	A	3	255	+	IV	14864745	14864766	21UR-458	255	+	2	14
3954	IV	14864743	14864781	38	A	1	255	+	IV	14864745	14864766	21UR-458	255	+	2	15
3963	IV	14890605	14890659	54	A	2	255	+	IV	14890607	14890628	21UR-5591	255	+	2	31
3966	IV	14891429	14891497	68	A	1	255	+	IV	14891431	14891452	21UR-25	255	+	2	45
3979	IV	14901346	14901404	58	A	6	255	+	IV	14901348	14901369	21UR-2069	255	+	2	35
3982	IV	14901346	14901405	59	A	1	255	+	IV	14901348	14901369	21UR-2069	255	+	2	36
3985	IV	14901346	14901406	60	A	1	255	+	IV	14901348	14901369	21UR-2069	255	+	2	37
4000	IV	14961928	14961946	18	A	3	255	+	IV	14961930	14961951	21UR-2816	255	+	2	-5
4009	IV	14967708	14967760	52	A	1	255	+	IV	14967710	14967731	21UR-5493	255	+	2	29
4010	IV	14979659	14979683	24	G	3	255	+	IV	14979661	14979682	21UR-66	255	+	2	1
4011	IV	14981336	14981385	49	A	4	255	+	IV	14981338	14981359	21UR-225	255	+	2	26
4021	IV	15067511	15067569	58	A	2	255	+	IV	15067513	15067534	21UR-1833	255	+	2	35
4024	IV	15162684	15162742	58	A	1	255	+	IV	15162686	15162707	21UR-8788	255	+	2	35
4033	IV	15175885	15175960	75	G	1	255	+	IV	15175887	15175908	21UR-1687	255	+	2	52
4042	IV	15238787	15238819	32	A	2	255	+	IV	15238789	15238810	21UR-705	255	+	2	9
4047	IV	15253961	15254020	59	A	3	255	+	IV	15253963	15253984	21UR-1566	255	+	2	36
4049	IV	15253961	15254025	64	A	3	255	+	IV	15253963	15253984	21UR-1566	255	+	2	41
4066	IV	15304575	15304626	51	A	1	255	+	IV	15304577	15304598	21UR-3522	255	+	2	28
4075	IV	15346990	15347039	49	A	2	255	+	IV	15346992	15347013	21UR-6326	255	+	2	26
4081	IV	15363375	15363426	51	A	1	255	+	IV	15363377	15363398	21UR-1348	255	+	2	28
4084	IV	15380585	15380631	46	G	2	255	+	IV	15380587	15380608	21UR-3573	255	+	2	23
4094	IV	15390715	15390743	28	G	1	255	+	IV	15390717	15390738	21UR-8405	255	+	2	5
4117	IV	15482963	15482995	32	A	5	255	+	IV	15482965	15482986	21UR-1920	255	+	2	9
4118	IV	15482963	15482996	33	A	2	255	+	IV	15482965	15482986	21UR-1920	255	+	2	10
4127	IV	15500788	15500849	61	A	1	255	+	IV	15500790	15500811	21UR-1160	255	+	2	38
4128	IV	15507197	15507225	28	G	2	255	+	IV	15507199	15507220	21UR-2536	255	+	2	5
4152	IV	15549129	15549148	19	A	5	255	+	IV	15549131	15549152	21UR-7594	255	+	2	-4
4157	IV	15582976	15583035	59	A	2	255	+	IV	15582978	15582999	21UR-3773	255	+	2	36
4164	IV	15695224	15695259	35	A	6	255	+	IV	15695226	15695247	21UR-5948	255	+	2	12
4195	IV	15757868	15757902	34	A	5	255	+	IV	15757870	15757891	21UR-5491	255	+	2	11
4199	IV	15789903	15789955	52	A	1	255	+	IV	15789905	15789926	21UR-7674	255	+	2	29
4209	IV	15844577	15844637	60	A	3	255	+	IV	15844579	15844600	21UR-3521	255	+	2	37
4257	IV	15891098	15891139	41	A	5	255	+	IV	15891100	15891121	21UR-4362	255	+	2	18
4259	IV	15891098	15891148	50	A	3	255	+	IV	15891100	15891121	21UR-4362	255	+	2	27
4261	IV	15904403	15904447	44	G	2	255	+	IV	15904405	15904426	21UR-5503	255	+	2	21
4300	IV	16157693	16157749	56	A	3	255	+	IV	16157695	16157716	21UR-810	255	+	2	33
4302	IV	16208637	16208689	52	A	5	255	+	IV	16208639	16208660	21UR-3759	255	+	2	29
4305	IV	16226470	16226495	25	A	1	255	+	IV	16226472	16226493	21UR-1021	255	+	2	2
4307	IV	16227809	16227840	31	A	3	255	+	IV	16227811	16227832	21UR-4350	255	+	2	8
4308	IV	16274864	16274904	40	A	4	255	+	IV	16274866	16274887	21UR-4994	255	+	2	17
4312	IV	16372587	16372648	61	A	5	255	+	IV	16372589	16372610	21UR-4941	255	+	2	38
