V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
3461	I	12065908	12065934	26	G	1	255	+	I	12065910	12065931	21UR-803	255	+	2	3
14178	I	7815025	7815043	18	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	-5
14180	I	7815025	7815044	19	A	38	255	+	I	7815027	7815048	21UR-12756	255	+	2	-4
14182	I	7815025	7815045	20	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	-3
14184	I	7815025	7815046	21	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	-2
14186	I	7815025	7815051	26	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	3
14188	I	7815025	7815052	27	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	4
14190	I	7815025	7815056	31	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	8
14192	I	7815025	7815060	35	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	12
14194	I	7815025	7815061	36	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	13
14196	I	7815025	7815062	37	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	14
14198	I	7815025	7815067	42	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	19
14200	I	7815025	7815070	45	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	22
21115	II	1320730	1320749	19	A	1	255	+	II	1320732	1320753	21UR-13751	255	+	2	-4
23525	II	4113706	4113740	34	G	55	255	+	II	4113708	4113729	21UR-5564	255	+	2	11
23526	II	4113706	4113747	41	G	37	255	+	II	4113708	4113729	21UR-5564	255	+	2	18
24680	II	5112772	5112800	28	A	1	255	+	II	5112774	5112795	21UR-15067	255	+	2	5
25564	II	5912548	5912572	24	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	1
25565	II	5912548	5912585	37	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
25566	II	5912548	5912599	51	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	28
25567	II	5912548	5912613	65	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	42
25568	II	5912548	5912616	68	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	45
30469	III	10807479	10807497	18	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	-5
30471	III	10807479	10807499	20	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	-3
30473	III	10807479	10807503	24	A	5	255	+	III	10807481	10807502	21UR-9572	255	+	2	1
30475	III	10807479	10807504	25	A	19	255	+	III	10807481	10807502	21UR-9572	255	+	2	2
30477	III	10807479	10807505	26	A	13	255	+	III	10807481	10807502	21UR-9572	255	+	2	3
30479	III	10807479	10807507	28	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	5
30481	III	10807479	10807508	29	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	6
30483	III	10807479	10807509	30	A	171	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
30485	III	10807479	10807510	31	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	8
30487	III	10807479	10807511	32	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	9
30489	III	10807479	10807512	33	A	13	255	+	III	10807481	10807502	21UR-9572	255	+	2	10
30491	III	10807479	10807513	34	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	11
30493	III	10807479	10807514	35	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	12
30495	III	10807479	10807515	36	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	13
30497	III	10807479	10807518	39	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	16
30499	III	10807479	10807519	40	A	18	255	+	III	10807481	10807502	21UR-9572	255	+	2	17
30501	III	10807479	10807520	41	A	4	255	+	III	10807481	10807502	21UR-9572	255	+	2	18
30503	III	10807479	10807523	44	A	9	255	+	III	10807481	10807502	21UR-9572	255	+	2	21
30505	III	10807479	10807524	45	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	22
30507	III	10807479	10807554	75	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	52
36616	III	503021	503041	20	A	1	255	+	III	503023	503044	21UR-2512	255	+	2	-3
41225	III	7190022	7190049	27	A	2	255	+	III	7190024	7190045	21UR-7304	255	+	2	4
47060	IV	11275625	11275653	28	A	1	255	+	IV	11275627	11275648	21UR-11320	255	+	2	5
47061	IV	11276751	11276806	55	A	1	255	+	IV	11276753	11276774	21UR-10898	255	+	2	32
48452	IV	12037833	12037860	27	G	1	255	+	IV	12037835	12037856	21UR-9630	255	+	2	4
50242	IV	13600846	13600870	24	G	3	255	+	IV	13600848	13600869	21UR-3338	255	+	2	1
50244	IV	13600846	13600871	25	G	63	255	+	IV	13600848	13600869	21UR-3338	255	+	2	2
50246	IV	13600846	13600872	26	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	3
50248	IV	13600846	13600879	33	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	10
50250	IV	13600846	13600880	34	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	11
50252	IV	13600846	13600906	60	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	37
50254	IV	13600846	13600910	64	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	41
50256	IV	13600846	13600913	67	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	44
50259	IV	13600849	13600867	18	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-5
50261	IV	13600849	13600868	19	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-4
50263	IV	13600849	13600869	20	A	16	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-3
50265	IV	13600849	13600870	21	A	7	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
50267	IV	13600849	13600871	22	A	206	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-1
50269	IV	13600849	13600872	23	A	4	255	+	IV	13600851	13600872	21UR-2046	255	+	2	0
50271	IV	13600849	13600873	24	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	1
50273	IV	13600849	13600874	25	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	2
50275	IV	13600849	13600877	28	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	5
50277	IV	13600849	13600879	30	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	7
50279	IV	13600849	13600883	34	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	11
50281	IV	13600849	13600904	55	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	32
50283	IV	13600849	13600913	64	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	41
50285	IV	13600849	13600914	65	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	42
50290	IV	13601636	13601668	32	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	9
50291	IV	13601636	13601669	33	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	10
50292	IV	13601636	13601670	34	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	11
50293	IV	13601636	13601671	35	A	76	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
50294	IV	13601636	13601675	39	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	16
50295	IV	13601636	13601676	40	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	17
50296	IV	13601636	13601680	44	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	21
50297	IV	13601636	13601681	45	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	22
50298	IV	13601636	13601682	46	A	11	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
50299	IV	13601636	13601683	47	A	7	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
50300	IV	13601636	13601703	67	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	44
50382	IV	13608797	13608821	24	G	1	255	+	IV	13608799	13608820	21UR-4428	255	+	2	1
50384	IV	13608797	13608851	54	G	1	255	+	IV	13608799	13608820	21UR-4428	255	+	2	31
50400	IV	13624878	13624904	26	A	1	255	+	IV	13624880	13624901	21UR-2411	255	+	2	3
50401	IV	13624878	13624905	27	A	1	255	+	IV	13624880	13624901	21UR-2411	255	+	2	4
50407	IV	13632773	13632792	19	G	1	255	+	IV	13632775	13632796	21UR-5969	255	+	2	-4
50437	IV	13651751	13651772	21	A	2	255	+	IV	13651753	13651774	21UR-5486	255	+	2	-2
50440	IV	13651751	13651774	23	A	1	255	+	IV	13651753	13651774	21UR-5486	255	+	2	0
50443	IV	13651751	13651776	25	A	4	255	+	IV	13651753	13651774	21UR-5486	255	+	2	2
50446	IV	13651751	13651777	26	A	4	255	+	IV	13651753	13651774	21UR-5486	255	+	2	3
50449	IV	13651751	13651779	28	A	4	255	+	IV	13651753	13651774	21UR-5486	255	+	2	5
50452	IV	13651751	13651807	56	A	1	255	+	IV	13651753	13651774	21UR-5486	255	+	2	33
50482	IV	13674709	13674740	31	A	2	255	+	IV	13674711	13674732	21UR-9024	255	+	2	8
50512	IV	13691585	13691638	53	A	1	255	+	IV	13691587	13691608	21UR-661	255	+	2	30
50514	IV	13693085	13693107	22	A	2	255	+	IV	13693087	13693108	21UR-509	255	+	2	-1
50515	IV	13693085	13693111	26	A	1	255	+	IV	13693087	13693108	21UR-509	255	+	2	3
50516	IV	13693085	13693113	28	A	2	255	+	IV	13693087	13693108	21UR-509	255	+	2	5
50517	IV	13693085	13693125	40	A	1	255	+	IV	13693087	13693108	21UR-509	255	+	2	17
50519	IV	13697149	13697196	47	A	2	255	+	IV	13697151	13697172	21UR-5222	255	+	2	24
50592	IV	13707546	13707571	25	A	2	255	+	IV	13707548	13707569	21UR-5826	255	+	2	2
50595	IV	13707546	13707573	27	A	2	255	+	IV	13707548	13707569	21UR-5826	255	+	2	4
50598	IV	13707546	13707574	28	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	5
50601	IV	13707546	13707579	33	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	10
50604	IV	13707546	13707588	42	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	19
50607	IV	13707546	13707590	44	A	3	255	+	IV	13707548	13707569	21UR-5826	255	+	2	21
50626	IV	13711930	13711956	26	G	1	255	+	IV	13711932	13711953	21UR-5510	255	+	2	3
50627	IV	13712621	13712671	50	A	1	255	+	IV	13712623	13712644	21UR-2756	255	+	2	27
50643	IV	13714393	13714413	20	A	1	255	+	IV	13714395	13714416	21UR-3752	255	+	2	-3
50649	IV	13716649	13716676	27	A	1	255	+	IV	13716651	13716672	21UR-2422	255	+	2	4
50651	IV	13720862	13720882	20	A	1	255	+	IV	13720864	13720885	21UR-10150	255	+	2	-3
50681	IV	13726633	13726659	26	A	1	255	+	IV	13726635	13726656	21UR-2117	255	+	2	3
50692	IV	13728253	13728274	21	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	-2
50694	IV	13728253	13728276	23	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	0
50696	IV	13728253	13728280	27	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	4
50697	IV	13730617	13730638	21	G	1	255	+	IV	13730619	13730640	21UR-2894	255	+	2	-2
50699	IV	13744121	13744143	22	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	-1
50700	IV	13744121	13744146	25	A	2	255	+	IV	13744123	13744144	21UR-5360	255	+	2	2
50701	IV	13744121	13744188	67	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	44
50713	IV	13748123	13748143	20	G	1	255	+	IV	13748125	13748146	21UR-574	255	+	2	-3
50715	IV	13748123	13748152	29	G	1	255	+	IV	13748125	13748146	21UR-574	255	+	2	6
50717	IV	13748123	13748153	30	G	2	255	+	IV	13748125	13748146	21UR-574	255	+	2	7
50719	IV	13748123	13748155	32	G	1	255	+	IV	13748125	13748146	21UR-574	255	+	2	9
50721	IV	13748123	13748162	39	G	1	255	+	IV	13748125	13748146	21UR-574	255	+	2	16
50723	IV	13748789	13748809	20	A	1	255	+	IV	13748791	13748812	21UR-7438	255	+	2	-3
50724	IV	13748789	13748815	26	A	1	255	+	IV	13748791	13748812	21UR-7438	255	+	2	3
50726	IV	13751787	13751813	26	G	1	255	+	IV	13751789	13751810	21UR-1930	255	+	2	3
50728	IV	13755266	13755289	23	A	2	255	+	IV	13755268	13755289	21UR-1850	255	+	2	0
50732	IV	13757754	13757813	59	A	1	255	+	IV	13757756	13757777	21UR-1129	255	+	2	36
50742	IV	13759088	13759115	27	G	1	255	+	IV	13759090	13759111	21UR-4392	255	+	2	4
50743	IV	13759236	13759287	51	A	1	255	+	IV	13759238	13759259	21UR-5244	255	+	2	28
50746	IV	13761156	13761182	26	A	1	255	+	IV	13761158	13761179	21UR-236	255	+	2	3
50762	IV	13767511	13767534	23	G	1	255	+	IV	13767513	13767534	21UR-7034	255	+	2	0
50765	IV	13769268	13769305	37	A	1	255	+	IV	13769270	13769291	21UR-6056	255	+	2	14
50800	IV	13800619	13800641	22	G	1	255	+	IV	13800621	13800642	21UR-12585	255	+	2	-1
50801	IV	13800619	13800643	24	G	4	255	+	IV	13800621	13800642	21UR-12585	255	+	2	1
50820	IV	13805551	13805575	24	A	1	255	+	IV	13805553	13805574	21UR-4912	255	+	2	1
50822	IV	13805551	13805582	31	A	1	255	+	IV	13805553	13805574	21UR-4912	255	+	2	8
50824	IV	13805551	13805596	45	A	2	255	+	IV	13805553	13805574	21UR-4912	255	+	2	22
50831	IV	13812521	13812544	23	A	1	255	+	IV	13812523	13812544	21UR-3357	255	+	2	0
50833	IV	13818024	13818047	23	A	1	255	+	IV	13818026	13818047	21UR-1949	255	+	2	0
50835	IV	13818024	13818048	24	A	2	255	+	IV	13818026	13818047	21UR-1949	255	+	2	1
50837	IV	13818024	13818049	25	A	1	255	+	IV	13818026	13818047	21UR-1949	255	+	2	2
50839	IV	13818024	13818050	26	A	2	255	+	IV	13818026	13818047	21UR-1949	255	+	2	3
50841	IV	13818024	13818074	50	A	1	255	+	IV	13818026	13818047	21UR-1949	255	+	2	27
50846	IV	13819063	13819089	26	A	1	255	+	IV	13819065	13819086	21UR-4680	255	+	2	3
50893	IV	13820366	13820394	28	A	1	255	+	IV	13820368	13820389	21UR-3377	255	+	2	5
50899	IV	13821315	13821335	20	A	2	255	+	IV	13821317	13821338	21UR-7799	255	+	2	-3
50901	IV	13821315	13821342	27	A	2	255	+	IV	13821317	13821338	21UR-7799	255	+	2	4
50903	IV	13823655	13823687	32	A	1	255	+	IV	13823657	13823678	21UR-7953	255	+	2	9
50904	IV	13825320	13825357	37	G	1	255	+	IV	13825322	13825343	21UR-5664	255	+	2	14
50910	IV	13825477	13825508	31	A	1	255	+	IV	13825479	13825500	21UR-5874	255	+	2	8
50913	IV	13825478	13825531	53	A	1	255	+	IV	13825480	13825501	21UR-7512	255	+	2	30
50917	IV	13825770	13825792	22	A	7	255	+	IV	13825772	13825793	21UR-2307	255	+	2	-1
50919	IV	13825770	13825793	23	A	4	255	+	IV	13825772	13825793	21UR-2307	255	+	2	0
50921	IV	13825770	13825797	27	A	2	255	+	IV	13825772	13825793	21UR-2307	255	+	2	4
50922	IV	13825894	13825916	22	A	1	255	+	IV	13825896	13825917	21UR-5703	255	+	2	-1
50923	IV	13826075	13826125	50	A	1	255	+	IV	13826077	13826098	21UR-1127	255	+	2	27
50925	IV	13828445	13828499	54	A	1	255	+	IV	13828447	13828468	21UR-1810	255	+	2	31
