V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
3100	I	3745499	3745555	56	A	4	255	+	I	3745501	3745522	21UR-11567	255	+	2	33
4799	I	7815025	7815068	43	A	3	255	+	I	7815027	7815048	21UR-12756	255	+	2	20
7498	II	4113706	4113741	35	G	53	255	+	II	4113708	4113729	21UR-5564	255	+	2	12
7499	II	4113706	4113761	55	G	3	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
8198	II	5912548	5912584	36	A	5	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
8199	II	5912548	5912585	37	A	6	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
8200	II	5912548	5912597	49	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
8201	II	5912548	5912604	56	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	33
8202	II	5912548	5912612	64	A	9	255	+	II	5912550	5912571	21UR-12205	255	+	2	41
8203	II	5912548	5912617	69	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	46
9230	III	10807479	10807497	18	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	-5
9232	III	10807479	10807499	20	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	-3
9234	III	10807479	10807504	25	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	2
9236	III	10807479	10807505	26	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	3
9238	III	10807479	10807508	29	A	21	255	+	III	10807481	10807502	21UR-9572	255	+	2	6
9240	III	10807479	10807509	30	A	431	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
9242	III	10807479	10807512	33	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	10
9244	III	10807479	10807514	35	A	4	255	+	III	10807481	10807502	21UR-9572	255	+	2	12
9246	III	10807479	10807515	36	A	9	255	+	III	10807481	10807502	21UR-9572	255	+	2	13
9248	III	10807479	10807516	37	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	14
9250	III	10807479	10807517	38	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	15
9252	III	10807479	10807519	40	A	3	255	+	III	10807481	10807502	21UR-9572	255	+	2	17
9254	III	10807479	10807520	41	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	18
9256	III	10807479	10807522	43	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	20
12402	III	7190022	7190056	34	A	3	255	+	III	7190024	7190045	21UR-7304	255	+	2	11
13943	IV	11276751	11276793	42	A	1	255	+	IV	11276753	11276774	21UR-10898	255	+	2	19
14343	IV	12037833	12037880	47	G	6	255	+	IV	12037835	12037856	21UR-9630	255	+	2	24
14509	IV	12386897	12386923	26	A	7	255	+	IV	12386899	12386920	21UR-6613	255	+	2	3
14870	IV	13601636	13601670	34	A	8	255	+	IV	13601638	13601659	21UR-3398	255	+	2	11
14871	IV	13601636	13601671	35	A	19	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
14872	IV	13601636	13601679	43	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	20
14873	IV	13601636	13601682	46	A	7	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
14874	IV	13601636	13601683	47	A	17	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
14875	IV	13601636	13601692	56	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	33
14897	IV	13608797	13608851	54	G	3	255	+	IV	13608799	13608820	21UR-4428	255	+	2	31
14899	IV	13632773	13632821	48	G	6	255	+	IV	13632775	13632796	21UR-5969	255	+	2	25
14913	IV	13649446	13649469	23	G	4	255	+	IV	13649448	13649469	21UR-7739	255	+	2	0
14915	IV	13651751	13651785	34	A	6	255	+	IV	13651753	13651774	21UR-5486	255	+	2	11
