V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
2225	II	5912548	5912619	71	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	48
3589	IV	13600846	13600871	25	G	4	255	+	IV	13600848	13600869	21UR-3338	255	+	2	2
3591	IV	13600846	13600914	68	G	5	255	+	IV	13600848	13600869	21UR-3338	255	+	2	45
3593	IV	13600846	13600917	71	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	48
3595	IV	13600846	13600918	72	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	49
3598	IV	13600849	13600871	22	A	6	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-1
3600	IV	13600849	13600874	25	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	2
3602	IV	13600849	13600876	27	A	5	255	+	IV	13600851	13600872	21UR-2046	255	+	2	4
3603	IV	13601636	13601670	34	A	5	255	+	IV	13601638	13601659	21UR-3398	255	+	2	11
3604	IV	13601636	13601671	35	A	39	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
3605	IV	13601636	13601674	38	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	15
3606	IV	13601636	13601682	46	A	10	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
3607	IV	13601636	13601683	47	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
3628	IV	13624878	13624907	29	A	1	255	+	IV	13624880	13624901	21UR-2411	255	+	2	6
3630	IV	13676025	13676055	30	A	4	255	+	IV	13676027	13676048	21UR-3315	255	+	2	7
3634	IV	13693085	13693117	32	A	6	255	+	IV	13693087	13693108	21UR-509	255	+	2	9
3648	IV	13715643	13715668	25	A	4	255	+	IV	13715645	13715666	21UR-242	255	+	2	2
3656	IV	13728253	13728286	33	A	6	255	+	IV	13728255	13728276	21UR-5733	255	+	2	10
3660	IV	13805551	13805596	45	A	6	255	+	IV	13805553	13805574	21UR-4912	255	+	2	22
3662	IV	13805551	13805597	46	A	2	255	+	IV	13805553	13805574	21UR-4912	255	+	2	23
3664	IV	13805551	13805603	52	A	4	255	+	IV	13805553	13805574	21UR-4912	255	+	2	29
3668	IV	13820589	13820623	34	G	5	255	+	IV	13820591	13820612	21UR-3006	255	+	2	11
3681	IV	13894747	13894776	29	A	4	255	+	IV	13894749	13894770	21UR-3588	255	+	2	6
3684	IV	13906385	13906412	27	A	8	255	+	IV	13906387	13906408	21UR-2944	255	+	2	4
3694	IV	13950573	13950595	22	A	1	255	+	IV	13950575	13950596	21UR-447	255	+	2	-1
3696	IV	13953062	13953096	34	A	4	255	+	IV	13953064	13953085	21UR-939	255	+	2	11
3697	IV	13953622	13953647	25	A	5	255	+	IV	13953624	13953645	21UR-1588	255	+	2	2
3698	IV	13953622	13953649	27	A	5	255	+	IV	13953624	13953645	21UR-1588	255	+	2	4
3700	IV	13954112	13954149	37	A	7	255	+	IV	13954114	13954135	21UR-5105	255	+	2	14
3703	IV	13954268	13954289	21	A	1	255	+	IV	13954270	13954291	21UR-2554	255	+	2	-2
3705	IV	13954268	13954292	24	A	7	255	+	IV	13954270	13954291	21UR-2554	255	+	2	1
3707	IV	13954268	13954295	27	A	15	255	+	IV	13954270	13954291	21UR-2554	255	+	2	4
3709	IV	13954268	13954298	30	A	11	255	+	IV	13954270	13954291	21UR-2554	255	+	2	7
3718	IV	14008038	14008064	26	A	5	255	+	IV	14008040	14008061	21UR-3431	255	+	2	3
3719	IV	14008038	14008067	29	A	4	255	+	IV	14008040	14008061	21UR-3431	255	+	2	6
3721	IV	14014891	14014913	22	A	2	255	+	IV	14014893	14014914	21UR-8258	255	+	2	-1
3722	IV	14014891	14014917	26	A	10	255	+	IV	14014893	14014914	21UR-8258	255	+	2	3
3741	IV	14053267	14053294	27	G	3	255	+	IV	14053269	14053290	21UR-975	255	+	2	4
