V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
1414	I	13781328	13781351	23	G	1	255	+	I	13781330	13781351	21UR-15569	255	+	2	0
3564	I	7815025	7815043	18	A	1	255	+	I	7815027	7815048	21UR-12756	255	+	2	-5
5207	II	3373663	3373682	19	G	1	255	+	II	3373665	3373686	21UR-8285	255	+	2	-4
5208	II	3373663	3373683	20	G	1	255	+	II	3373665	3373686	21UR-8285	255	+	2	-3
5209	II	3373663	3373684	21	G	1	255	+	II	3373665	3373686	21UR-8285	255	+	2	-2
5242	II	4113706	4113744	38	G	2	255	+	II	4113708	4113729	21UR-5564	255	+	2	15
5649	II	5112769	5112800	31	G	4	255	+	II	5112771	5112792	21UR-15200	255	+	2	8
5893	II	5912548	5912569	21	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	-2
5894	II	5912548	5912582	34	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
5895	II	5912548	5912583	35	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
5896	II	5912548	5912584	36	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
5897	II	5912548	5912585	37	A	25	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
5898	II	5912548	5912587	39	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	16
5899	II	5912548	5912589	41	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	18
5900	II	5912548	5912593	45	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	22
5901	II	5912548	5912595	47	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	24
5902	II	5912548	5912597	49	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
5903	II	5912548	5912598	50	A	13	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
5904	II	5912548	5912608	60	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	37
5905	II	5912548	5912611	63	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	40
5906	II	5912548	5912615	67	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	44
5907	II	5912548	5912617	69	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	46
6636	III	10807479	10807502	23	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	0
6638	III	10807479	10807508	29	A	1	255	+	III	10807481	10807502	21UR-9572	255	+	2	6
6640	III	10807479	10807509	30	A	5	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
8061	III	7190022	7190065	43	A	2	255	+	III	7190024	7190045	21UR-7304	255	+	2	20
8064	III	7190022	7190069	47	A	1	255	+	III	7190024	7190045	21UR-7304	255	+	2	24
9217	IV	12386893	12386931	38	A	1	255	+	IV	12386895	12386916	21UR-11652	255	+	2	15
9221	IV	12386897	12386923	26	A	2	255	+	IV	12386899	12386920	21UR-6613	255	+	2	3
9224	IV	12386897	12386930	33	A	1	255	+	IV	12386899	12386920	21UR-6613	255	+	2	10
9458	IV	13600849	13600869	20	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-3
9460	IV	13600849	13600870	21	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
9467	IV	13601636	13601671	35	A	6	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
9468	IV	13601636	13601674	38	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	15
9469	IV	13601636	13601675	39	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	16
9470	IV	13601636	13601682	46	A	1	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
9520	IV	13624675	13624705	30	A	1	255	+	IV	13624677	13624698	21UR-8414	255	+	2	7
9583	IV	13643069	13643095	26	A	1	255	+	IV	13643071	13643092	21UR-6806	255	+	2	3
9600	IV	13682620	13682676	56	G	1	255	+	IV	13682622	13682643	21UR-7831	255	+	2	33
9606	IV	13693085	13693113	28	A	1	255	+	IV	13693087	13693108	21UR-509	255	+	2	5
9607	IV	13693085	13693114	29	A	1	255	+	IV	13693087	13693108	21UR-509	255	+	2	6
9608	IV	13693085	13693127	42	A	1	255	+	IV	13693087	13693108	21UR-509	255	+	2	19
9625	IV	13707546	13707586	40	A	1	255	+	IV	13707548	13707569	21UR-5826	255	+	2	17
9628	IV	13707546	13707588	42	A	2	255	+	IV	13707548	13707569	21UR-5826	255	+	2	19
9640	IV	13713177	13713209	32	A	1	255	+	IV	13713179	13713200	21UR-1776	255	+	2	9
9653	IV	13728253	13728283	30	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	7
9655	IV	13728253	13728294	41	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	18
9657	IV	13728253	13728300	47	A	1	255	+	IV	13728255	13728276	21UR-5733	255	+	2	24
9658	IV	13730617	13730638	21	G	1	255	+	IV	13730619	13730640	21UR-2894	255	+	2	-2
9659	IV	13732430	13732450	20	A	1	255	+	IV	13732432	13732453	21UR-429	255	+	2	-3
9660	IV	13732430	13732453	23	A	1	255	+	IV	13732432	13732453	21UR-429	255	+	2	0
9662	IV	13743066	13743091	25	G	3	255	+	IV	13743068	13743089	21UR-3172	255	+	2	2
9664	IV	13743066	13743096	30	G	2	255	+	IV	13743068	13743089	21UR-3172	255	+	2	7
9665	IV	13744121	13744146	25	A	2	255	+	IV	13744123	13744144	21UR-5360	255	+	2	2
9666	IV	13744121	13744184	63	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	40
9674	IV	13748123	13748145	22	G	3	255	+	IV	13748125	13748146	21UR-574	255	+	2	-1
9676	IV	13748123	13748152	29	G	1	255	+	IV	13748125	13748146	21UR-574	255	+	2	6
9684	IV	13755541	13755561	20	A	1	255	+	IV	13755543	13755564	21UR-6271	255	+	2	-3
9687	IV	13757754	13757777	23	A	3	255	+	IV	13757756	13757777	21UR-1129	255	+	2	0
9690	IV	13757754	13757780	26	A	2	255	+	IV	13757756	13757777	21UR-1129	255	+	2	3
9695	IV	13759867	13759918	51	A	1	255	+	IV	13759869	13759890	21UR-6376	255	+	2	28
9698	IV	13761156	13761179	23	A	1	255	+	IV	13761158	13761179	21UR-236	255	+	2	0
9705	IV	13768610	13768633	23	A	2	255	+	IV	13768612	13768633	21UR-5145	255	+	2	0
9718	IV	13805551	13805577	26	A	1	255	+	IV	13805553	13805574	21UR-4912	255	+	2	3
9720	IV	13805551	13805597	46	A	1	255	+	IV	13805553	13805574	21UR-4912	255	+	2	23
9723	IV	13811717	13811767	50	G	1	255	+	IV	13811719	13811740	21UR-2390	255	+	2	27
9724	IV	13812521	13812543	22	A	1	255	+	IV	13812523	13812544	21UR-3357	255	+	2	-1
9726	IV	13818024	13818048	24	A	4	255	+	IV	13818026	13818047	21UR-1949	255	+	2	1
9728	IV	13818024	13818049	25	A	2	255	+	IV	13818026	13818047	21UR-1949	255	+	2	2
9730	IV	13818024	13818053	29	A	1	255	+	IV	13818026	13818047	21UR-1949	255	+	2	6
9745	IV	13820366	13820396	30	A	2	255	+	IV	13820368	13820389	21UR-3377	255	+	2	7
9754	IV	13821315	13821339	24	A	2	255	+	IV	13821317	13821338	21UR-7799	255	+	2	1
9757	IV	13823867	13823902	35	A	1	255	+	IV	13823869	13823890	21UR-2106	255	+	2	12
9759	IV	13825478	13825499	21	A	2	255	+	IV	13825480	13825501	21UR-7512	255	+	2	-2
9760	IV	13826307	13826338	31	A	1	255	+	IV	13826309	13826330	21UR-3098	255	+	2	8
9761	IV	13828445	13828493	48	A	2	255	+	IV	13828447	13828468	21UR-1810	255	+	2	25
9762	IV	13828639	13828664	25	G	1	255	+	IV	13828641	13828662	21UR-4951	255	+	2	2
9767	IV	13830695	13830730	35	A	1	255	+	IV	13830697	13830718	21UR-2220	255	+	2	12
9784	IV	13840061	13840097	36	A	1	255	+	IV	13840063	13840084	21UR-4538	255	+	2	13
9790	IV	13863692	13863719	27	A	2	255	+	IV	13863694	13863715	21UR-2779	255	+	2	4
9806	IV	13894747	13894778	31	A	1	255	+	IV	13894749	13894770	21UR-3588	255	+	2	8
9824	IV	13895712	13895744	32	A	1	255	+	IV	13895714	13895735	21UR-2352	255	+	2	9
9828	IV	13895715	13895733	18	G	1	255	+	IV	13895717	13895738	21UR-2748	255	+	2	-5
9837	IV	13900186	13900212	26	A	1	255	+	IV	13900188	13900209	21UR-1946	255	+	2	3
9838	IV	13900186	13900219	33	A	1	255	+	IV	13900188	13900209	21UR-1946	255	+	2	10
9840	IV	13900668	13900697	29	A	1	255	+	IV	13900670	13900691	21UR-5559	255	+	2	6
9841	IV	13900971	13901003	32	A	1	255	+	IV	13900973	13900994	21UR-1719	255	+	2	9
9843	IV	13901119	13901140	21	A	2	255	+	IV	13901121	13901142	21UR-3274	255	+	2	-2
9845	IV	13906385	13906413	28	A	1	255	+	IV	13906387	13906408	21UR-2944	255	+	2	5
9850	IV	13908126	13908146	20	A	1	255	+	IV	13908128	13908149	21UR-6818	255	+	2	-3
9852	IV	13912950	13912978	28	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	5
9854	IV	13912950	13912979	29	G	3	255	+	IV	13912952	13912973	21UR-2351	255	+	2	6
9856	IV	13912950	13912983	33	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	10
9858	IV	13912950	13912987	37	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	14
9860	IV	13912950	13912989	39	G	2	255	+	IV	13912952	13912973	21UR-2351	255	+	2	16
9862	IV	13912950	13913002	52	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	29
9864	IV	13912950	13913013	63	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	40
9883	IV	13946064	13946085	21	A	1	255	+	IV	13946066	13946087	21UR-2698	255	+	2	-2
9885	IV	13946710	13946736	26	A	2	255	+	IV	13946712	13946733	21UR-12643	255	+	2	3
9892	IV	13954112	13954140	28	A	2	255	+	IV	13954114	13954135	21UR-5105	255	+	2	5
9896	IV	13954112	13954143	31	A	2	255	+	IV	13954114	13954135	21UR-5105	255	+	2	8
9900	IV	13954112	13954149	37	A	8	255	+	IV	13954114	13954135	21UR-5105	255	+	2	14
9904	IV	13954112	13954157	45	A	2	255	+	IV	13954114	13954135	21UR-5105	255	+	2	22
9919	IV	13959569	13959595	26	A	1	255	+	IV	13959571	13959592	21UR-7488	255	+	2	3
9932	IV	13988046	13988072	26	G	3	255	+	IV	13988048	13988069	21UR-3681	255	+	2	3
9934	IV	13989624	13989649	25	A	4	255	+	IV	13989626	13989647	21UR-1342	255	+	2	2
9938	IV	13991528	13991555	27	A	2	255	+	IV	13991530	13991551	21UR-637	255	+	2	4
9941	IV	13991528	13991557	29	A	1	255	+	IV	13991530	13991551	21UR-637	255	+	2	6
9959	IV	14000995	14001017	22	A	1	255	+	IV	14000997	14001018	21UR-7301	255	+	2	-1
9971	IV	14008881	14008913	32	A	1	255	+	IV	14008883	14008904	21UR-2949	255	+	2	9
9979	IV	14014376	14014403	27	G	2	255	+	IV	14014378	14014399	21UR-13723	255	+	2	4
9980	IV	14014376	14014408	32	G	2	255	+	IV	14014378	14014399	21UR-13723	255	+	2	9
9981	IV	14014376	14014409	33	G	1	255	+	IV	14014378	14014399	21UR-13723	255	+	2	10
9982	IV	14014891	14014916	25	A	2	255	+	IV	14014893	14014914	21UR-8258	255	+	2	2
9983	IV	14014891	14014922	31	A	3	255	+	IV	14014893	14014914	21UR-8258	255	+	2	8
10025	IV	14047172	14047199	27	A	1	255	+	IV	14047174	14047195	21UR-496	255	+	2	4
10026	IV	14047274	14047297	23	G	1	255	+	IV	14047276	14047297	21UR-436	255	+	2	0
10028	IV	14049287	14049316	29	A	5	255	+	IV	14049289	14049310	21UR-12079	255	+	2	6
10033	IV	14050615	14050656	41	G	1	255	+	IV	14050617	14050638	21UR-4340	255	+	2	18
10035	IV	14053267	14053287	20	G	1	255	+	IV	14053269	14053290	21UR-975	255	+	2	-3
10036	IV	14053267	14053288	21	G	2	255	+	IV	14053269	14053290	21UR-975	255	+	2	-2
10037	IV	14053267	14053289	22	G	2	255	+	IV	14053269	14053290	21UR-975	255	+	2	-1
10038	IV	14053267	14053294	27	G	5	255	+	IV	14053269	14053290	21UR-975	255	+	2	4
