#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
IV	5339209	5339230	21UR-1662	255.0	-	5339209	5339230	0	1	21	5339204	pis_not_detected_CAGE.bed
IV	4960535	4960556	21UR-7584	255.0	+	4960535	4960556	0	1	21	4960531	pis_not_detected_CAGE.bed
IV	15301603	15301624	21UR-8935	255.0	-	15301603	15301624	0	1	21	15301602	pis_not_detected_CAGE.bed
IV	6094050	6094071	21UR-6515	255.0	+	6094050	6094071	0	1	21	6094044	pis_not_detected_CAGE.bed
IV	15884376	15884397	21UR-3806	255.0	-	15884376	15884397	0	1	21	15884375	pis_not_detected_CAGE.bed
IV	15487964	15487985	21UR-14774	255.0	-	15487964	15487985	0	1	21	15487963	pis_not_detected_CAGE.bed
IV	13701042	13701063	21UR-1894	255.0	-	13701042	13701063	0	1	21	13701041	pis_not_detected_CAGE.bed
IV	5568485	5568506	21UR-13051	255.0	+	5568485	5568506	0	1	21	5568480	pis_not_detected_CAGE.bed
IV	6772273	6772294	21UR-13040	255.0	-	6772273	6772294	0	1	21	6772267	pis_not_detected_CAGE.bed
IV	14027726	14027747	21UR-4384	255.0	-	14027726	14027747	0	1	21	14027725	pis_not_detected_CAGE.bed
IV	5117576	5117597	21UR-10559	255.0	-	5117576	5117597	0	1	21	5117571	pis_not_detected_CAGE.bed
IV	14390121	14390142	21UR-15306	255.0	+	14390121	14390142	0	1	21	14390120	pis_not_detected_CAGE.bed
IV	14567470	14567491	21UR-1603	255.0	+	14567470	14567491	0	1	21	14567469	pis_not_detected_CAGE.bed
V	9631059	9631080	21UR-13884	255.0	+	9631059	9631080	0	1	21	9631050	pis_not_detected_CAGE.bed
IV	14667552	14667573	21UR-7703	255.0	-	14667552	14667573	0	1	21	14667551	pis_not_detected_CAGE.bed
IV	14310456	14310477	21UR-5364	255.0	-	14310456	14310477	0	1	21	14310455	pis_not_detected_CAGE.bed
IV	13726772	13726793	21UR-4358	255.0	-	13726772	13726793	0	1	21	13726771	pis_not_detected_CAGE.bed
IV	3429533	3429554	21UR-12524	255.0	+	3429533	3429554	0	1	21	3429530	pis_not_detected_CAGE.bed
IV	15348876	15348897	21UR-5455	255.0	+	15348876	15348897	0	1	21	15348875	pis_not_detected_CAGE.bed
IV	16155737	16155758	21UR-11164	255.0	-	16155737	16155758	0	1	21	16155736	pis_not_detected_CAGE.bed
IV	5930554	5930575	21UR-1204	255.0	+	5930554	5930575	0	1	21	5930549	pis_not_detected_CAGE.bed
IV	15688254	15688275	21UR-5437	255.0	+	15688254	15688275	0	1	21	15688253	pis_not_detected_CAGE.bed
IV	15929855	15929876	21UR-6618	255.0	-	15929855	15929876	0	1	21	15929854	pis_not_detected_CAGE.bed
IV	5043128	5043149	21UR-11022	255.0	+	5043128	5043149	0	1	21	5043123	pis_not_detected_CAGE.bed
IV	15841641	15841662	21UR-374	255.0	-	15841641	15841662	0	1	21	15841640	pis_not_detected_CAGE.bed
IV	5635262	5635283	21UR-13620	255.0	-	5635262	5635283	0	1	21	5635257	pis_not_detected_CAGE.bed
IV	5614159	5614180	21UR-5354	255.0	-	5614159	5614180	0	1	21	5614154	pis_not_detected_CAGE.bed
IV	14627585	14627606	21UR-14116	255.0	-	14627585	14627606	0	1	21	14627584	pis_not_detected_CAGE.bed
IV	5956168	5956189	21UR-4302	255.0	-	5956168	5956189	0	1	21	5956163	pis_not_detected_CAGE.bed
IV	15298092	15298113	21UR-2155	255.0	+	15298092	15298113	0	1	21	15298091	pis_not_detected_CAGE.bed
IV	16220818	16220839	21UR-9575	255.0	+	16220818	16220839	0	1	21	16220817	pis_not_detected_CAGE.bed
IV	14917053	14917074	21UR-13499	255.0	-	14917053	14917074	0	1	21	14917052	pis_not_detected_CAGE.bed
I	10203969	10203990	21UR-2788	255.0	+	10203969	10203990	0	1	21	10203968	pis_not_detected_CAGE.bed
IV	14991257	14991278	21UR-326	255.0	+	14991257	14991278	0	1	21	14991256	pis_not_detected_CAGE.bed
IV	14678909	14678930	21UR-14307	255.0	-	14678909	14678930	0	1	21	14678908	pis_not_detected_CAGE.bed
IV	16391153	16391174	21UR-5257	255.0	+	16391153	16391174	0	1	21	16391152	pis_not_detected_CAGE.bed
IV	14577340	14577361	21UR-7265	255.0	+	14577340	14577361	0	1	21	14577339	pis_not_detected_CAGE.bed
IV	16054335	16054356	21UR-14104	255.0	+	16054335	16054356	0	1	21	16054334	pis_not_detected_CAGE.bed
IV	13760018	13760039	21UR-11738	255.0	+	13760018	13760039	0	1	21	13760017	pis_not_detected_CAGE.bed
IV	15135099	15135120	21UR-4743	255.0	+	15135099	15135120	0	1	21	15135098	pis_not_detected_CAGE.bed
IV	17188980	17189001	21UR-9889	255.0	+	17188980	17189001	0	1	21	17188979	pis_not_detected_CAGE.bed
IV	16341705	16341726	21UR-1243	255.0	-	16341705	16341726	0	1	21	16341704	pis_not_detected_CAGE.bed
IV	16726488	16726509	21UR-14248	255.0	+	16726488	16726509	0	1	21	16726487	pis_not_detected_CAGE.bed
IV	15172722	15172743	21UR-5390	255.0	+	15172722	15172743	0	1	21	15172721	pis_not_detected_CAGE.bed
IV	13955569	13955590	21UR-9252	255.0	+	13955569	13955590	0	1	21	13955568	pis_not_detected_CAGE.bed
IV	15174207	15174228	21UR-5586	255.0	-	15174207	15174228	0	1	21	15174206	pis_not_detected_CAGE.bed
V	8617897	8617918	21UR-11079	255.0	-	8617897	8617918	0	1	21	8617889	pis_not_detected_CAGE.bed
IV	14735060	14735081	21UR-9203	255.0	-	14735060	14735081	0	1	21	14735059	pis_not_detected_CAGE.bed
IV	5200348	5200369	21UR-8920	255.0	+	5200348	5200369	0	1	21	5200343	pis_not_detected_CAGE.bed
IV	16602659	16602680	21UR-42	255.0	+	16602659	16602680	0	1	21	16602658	pis_not_detected_CAGE.bed
IV	16362968	16362989	21UR-4735	255.0	+	16362968	16362989	0	1	21	16362967	pis_not_detected_CAGE.bed
IV	16870386	16870407	21UR-2659	255.0	+	16870386	16870407	0	1	21	16870385	pis_not_detected_CAGE.bed
IV	14259187	14259208	21UR-3020	255.0	+	14259187	14259208	0	1	21	14259186	pis_not_detected_CAGE.bed
V	8831240	8831261	21UR-13706	255.0	-	8831240	8831261	0	1	21	8831232	pis_not_detected_CAGE.bed
IV	17231211	17231232	21UR-6507	255.0	-	17231211	17231232	0	1	21	17231210	pis_not_detected_CAGE.bed
IV	5376587	5376608	21UR-7502	255.0	+	5376587	5376608	0	1	21	5376582	pis_not_detected_CAGE.bed
IV	16616602	16616623	21UR-4493	255.0	+	16616602	16616623	0	1	21	16616601	pis_not_detected_CAGE.bed
IV	13913932	13913953	21UR-11747	255.0	+	13913932	13913953	0	1	21	13913931	pis_not_detected_CAGE.bed
IV	6165906	6165927	21UR-9892	255.0	+	6165906	6165927	0	1	21	6165900	pis_not_detected_CAGE.bed
IV	15162816	15162837	21UR-570	255.0	+	15162816	15162837	0	1	21	15162815	pis_not_detected_CAGE.bed
IV	14848016	14848037	21UR-10751	255.0	-	14848016	14848037	0	1	21	14848015	pis_not_detected_CAGE.bed
IV	12555095	12555116	21UR-4590	255.0	+	12555095	12555116	0	1	21	12555094	pis_not_detected_CAGE.bed
IV	13615982	13616003	21UR-2289	255.0	-	13615982	13616003	0	1	21	13615981	pis_not_detected_CAGE.bed
IV	5032868	5032889	21UR-1192	255.0	-	5032868	5032889	0	1	21	5032863	pis_not_detected_CAGE.bed
IV	6653178	6653199	21UR-6657	255.0	-	6653178	6653199	0	1	21	6653172	pis_not_detected_CAGE.bed
IV	15645568	15645589	21UR-5910	255.0	+	15645568	15645589	0	1	21	15645567	pis_not_detected_CAGE.bed
IV	16834432	16834453	21UR-641	255.0	+	16834432	16834453	0	1	21	16834431	pis_not_detected_CAGE.bed
IV	16582997	16583018	21UR-5602	255.0	+	16582997	16583018	0	1	21	16582996	pis_not_detected_CAGE.bed
IV	14035626	14035647	21UR-4418	255.0	-	14035626	14035647	0	1	21	14035625	pis_not_detected_CAGE.bed
IV	14977505	14977526	21UR-1445	255.0	-	14977505	14977526	0	1	21	14977504	pis_not_detected_CAGE.bed
IV	16214390	16214411	21UR-5348	255.0	-	16214390	16214411	0	1	21	16214389	pis_not_detected_CAGE.bed
IV	16839035	16839056	21UR-4277	255.0	-	16839035	16839056	0	1	21	16839034	pis_not_detected_CAGE.bed
IV	15567023	15567044	21UR-1145	255.0	+	15567023	15567044	0	1	21	15567022	pis_not_detected_CAGE.bed
IV	5764800	5764821	21UR-9472	255.0	-	5764800	5764821	0	1	21	5764795	pis_not_detected_CAGE.bed
IV	16578765	16578786	21UR-10515	255.0	-	16578765	16578786	0	1	21	16578764	pis_not_detected_CAGE.bed
III	10033387	10033408	21UR-14960	255.0	+	10033387	10033408	0	1	21	10033386	pis_not_detected_CAGE.bed
IV	9562630	9562651	21UR-7023	255.0	-	9562630	9562651	0	1	21	9562621	pis_not_detected_CAGE.bed
IV	15985968	15985989	21UR-4249	255.0	+	15985968	15985989	0	1	21	15985967	pis_not_detected_CAGE.bed
IV	15789371	15789392	21UR-5459	255.0	+	15789371	15789392	0	1	21	15789370	pis_not_detected_CAGE.bed
IV	5806765	5806786	21UR-2073	255.0	+	5806765	5806786	0	1	21	5806760	pis_not_detected_CAGE.bed
IV	15762244	15762265	21UR-11776	255.0	+	15762244	15762265	0	1	21	15762243	pis_not_detected_CAGE.bed
IV	13971962	13971983	21UR-1080	255.0	+	13971962	13971983	0	1	21	13971961	pis_not_detected_CAGE.bed
IV	15323659	15323680	21UR-12755	255.0	+	15323659	15323680	0	1	21	15323658	pis_not_detected_CAGE.bed
IV	7350682	7350703	21UR-12912	255.0	-	7350682	7350703	0	1	21	7350675	pis_not_detected_CAGE.bed
IV	16035462	16035483	21UR-4843	255.0	-	16035462	16035483	0	1	21	16035461	pis_not_detected_CAGE.bed
IV	15840449	15840470	21UR-7845	255.0	-	15840449	15840470	0	1	21	15840448	pis_not_detected_CAGE.bed
IV	13819064	13819085	21UR-10971	255.0	+	13819064	13819085	0	1	21	13819063	pis_not_detected_CAGE.bed
IV	5869933	5869954	21UR-11361	255.0	-	5869933	5869954	0	1	21	5869928	pis_not_detected_CAGE.bed
IV	16022306	16022327	21UR-915	255.0	-	16022306	16022327	0	1	21	16022305	pis_not_detected_CAGE.bed
IV	14273319	14273340	21UR-5114	255.0	+	14273319	14273340	0	1	21	14273318	pis_not_detected_CAGE.bed
IV	15117046	15117067	21UR-14496	255.0	+	15117046	15117067	0	1	21	15117045	pis_not_detected_CAGE.bed
IV	15667960	15667981	21UR-1652	255.0	+	15667960	15667981	0	1	21	15667959	pis_not_detected_CAGE.bed
IV	17233409	17233430	21UR-11767	255.0	-	17233409	17233430	0	1	21	17233408	pis_not_detected_CAGE.bed
IV	14312409	14312430	21UR-4382	255.0	+	14312409	14312430	0	1	21	14312408	pis_not_detected_CAGE.bed
IV	14881081	14881102	21UR-9099	255.0	+	14881081	14881102	0	1	21	14881080	pis_not_detected_CAGE.bed
IV	5929386	5929407	21UR-6936	255.0	+	5929386	5929407	0	1	21	5929381	pis_not_detected_CAGE.bed
IV	15408788	15408809	21UR-2217	255.0	-	15408788	15408809	0	1	21	15408787	pis_not_detected_CAGE.bed
IV	15278383	15278404	21UR-7643	255.0	-	15278383	15278404	0	1	21	15278382	pis_not_detected_CAGE.bed
IV	13647717	13647738	21UR-9064	255.0	-	13647717	13647738	0	1	21	13647716	pis_not_detected_CAGE.bed
X	17243267	17243288	21UR-13122	255.0	+	17243267	17243288	0	1	21	17243266	pis_not_detected_CAGE.bed
IV	11275627	11275648	21UR-11320	255.0	+	11275627	11275648	0	1	21	11275626	pis_not_detected_CAGE.bed
IV	5825132	5825153	21UR-14604	255.0	+	5825132	5825153	0	1	21	5825127	pis_not_detected_CAGE.bed
IV	15652040	15652061	21UR-4176	255.0	+	15652040	15652061	0	1	21	15652039	pis_not_detected_CAGE.bed
IV	15927260	15927281	21UR-2341	255.0	+	15927260	15927281	0	1	21	15927259	pis_not_detected_CAGE.bed
IV	5033221	5033242	21UR-7879	255.0	+	5033221	5033242	0	1	21	5033216	pis_not_detected_CAGE.bed
IV	15880850	15880871	21UR-7875	255.0	-	15880850	15880871	0	1	21	15880849	pis_not_detected_CAGE.bed
IV	13690480	13690501	21UR-10717	255.0	-	13690480	13690501	0	1	21	13690479	pis_not_detected_CAGE.bed
IV	15707486	15707507	21UR-9026	255.0	-	15707486	15707507	0	1	21	15707485	pis_not_detected_CAGE.bed
IV	5757985	5758006	21UR-1048	255.0	-	5757985	5758006	0	1	21	5757980	pis_not_detected_CAGE.bed
IV	5438538	5438559	21UR-954	255.0	+	5438538	5438559	0	1	21	5438533	pis_not_detected_CAGE.bed
IV	16021586	16021607	21UR-13139	255.0	+	16021586	16021607	0	1	21	16021585	pis_not_detected_CAGE.bed
X	9072393	9072414	21UR-9719	255.0	-	9072393	9072414	0	1	21	9072384	pis_not_detected_CAGE.bed
IV	5709534	5709555	21UR-8045	255.0	+	5709534	5709555	0	1	21	5709529	pis_not_detected_CAGE.bed
