V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
1663	I	13456680	13456720	40	A	5	255	+	I	13456682	13456703	21UR-139	255	+	2	17
1664	I	13456680	13456749	69	A	9	255	+	I	13456682	13456703	21UR-139	255	+	2	46
1758	I	13816997	13817031	34	A	3	255	+	I	13816999	13817020	21UR-15386	255	+	2	11
2677	I	3745499	3745536	37	A	3	255	+	I	3745501	3745522	21UR-11567	255	+	2	14
2678	I	3745499	3745555	56	A	10	255	+	I	3745501	3745522	21UR-11567	255	+	2	33
2679	I	3745499	3745556	57	A	7	255	+	I	3745501	3745522	21UR-11567	255	+	2	34
4205	I	7815025	7815067	42	A	2	255	+	I	7815027	7815048	21UR-12756	255	+	2	19
6705	II	4113706	4113738	32	G	10	255	+	II	4113708	4113729	21UR-5564	255	+	2	9
6706	II	4113706	4113750	44	G	41	255	+	II	4113708	4113729	21UR-5564	255	+	2	21
6707	II	4113706	4113752	46	G	73	255	+	II	4113708	4113729	21UR-5564	255	+	2	23
6708	II	4113706	4113761	55	G	6	255	+	II	4113708	4113729	21UR-5564	255	+	2	32
6709	II	4113706	4113769	63	G	4	255	+	II	4113708	4113729	21UR-5564	255	+	2	40
6710	II	4113706	4113770	64	G	2	255	+	II	4113708	4113729	21UR-5564	255	+	2	41
7137	II	5112772	5112800	28	A	4	255	+	II	5112774	5112795	21UR-15067	255	+	2	5
7462	II	5912548	5912569	21	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	-2
7463	II	5912548	5912582	34	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
7464	II	5912548	5912583	35	A	26	255	+	II	5912550	5912571	21UR-12205	255	+	2	12
7465	II	5912548	5912585	37	A	18	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
7466	II	5912548	5912589	41	A	13	255	+	II	5912550	5912571	21UR-12205	255	+	2	18
7467	II	5912548	5912597	49	A	9	255	+	II	5912550	5912571	21UR-12205	255	+	2	26
7468	II	5912548	5912598	50	A	14	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
7469	II	5912548	5912599	51	A	15	255	+	II	5912550	5912571	21UR-12205	255	+	2	28
7470	II	5912548	5912604	56	A	8	255	+	II	5912550	5912571	21UR-12205	255	+	2	33
7471	II	5912548	5912611	63	A	5	255	+	II	5912550	5912571	21UR-12205	255	+	2	40
7472	II	5912548	5912615	67	A	11	255	+	II	5912550	5912571	21UR-12205	255	+	2	44
7473	II	5912548	5912620	72	A	4	255	+	II	5912550	5912571	21UR-12205	255	+	2	49
7789	II	6998143	6998193	50	G	3	255	+	II	6998145	6998166	21UR-13293	255	+	2	27
8538	III	10807479	10807499	20	A	2	255	+	III	10807481	10807502	21UR-9572	255	+	2	-3
8540	III	10807479	10807509	30	A	30	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
8542	III	10807479	10807519	40	A	7	255	+	III	10807481	10807502	21UR-9572	255	+	2	17
8544	III	10807479	10807523	44	A	6	255	+	III	10807481	10807502	21UR-9572	255	+	2	21
10680	III	7190022	7190057	35	A	4	255	+	III	7190024	7190045	21UR-7304	255	+	2	12
11956	IV	11276751	11276783	32	A	9	255	+	IV	11276753	11276774	21UR-10898	255	+	2	9
11957	IV	11276751	11276796	45	A	2	255	+	IV	11276753	11276774	21UR-10898	255	+	2	22
12806	IV	13600846	13600872	26	G	8	255	+	IV	13600848	13600869	21UR-3338	255	+	2	3
12809	IV	13600849	13600870	21	A	18	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
12811	IV	13600849	13600871	22	A	3	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-1
12813	IV	13600849	13600875	26	A	6	255	+	IV	13600851	13600872	21UR-2046	255	+	2	3
12815	IV	13600849	13600882	33	A	8	255	+	IV	13600851	13600872	21UR-2046	255	+	2	10
12817	IV	13600849	13600917	68	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	45
12821	IV	13601636	13601671	35	A	65	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
12822	IV	13601636	13601675	39	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	16
12823	IV	13601636	13601676	40	A	6	255	+	IV	13601638	13601659	21UR-3398	255	+	2	17
12824	IV	13601636	13601681	45	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	22
12825	IV	13601636	13601682	46	A	16	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
12826	IV	13601636	13601683	47	A	6	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
12827	IV	13601636	13601689	53	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	30
12878	IV	13608797	13608851	54	G	3	255	+	IV	13608799	13608820	21UR-4428	255	+	2	31
12880	IV	13612684	13612748	64	A	3	255	+	IV	13612686	13612707	21UR-1439	255	+	2	41
12957	IV	13651751	13651797	46	A	2	255	+	IV	13651753	13651774	21UR-5486	255	+	2	23
12969	IV	13697149	13697206	57	A	2	255	+	IV	13697151	13697172	21UR-5222	255	+	2	34
12992	IV	13713177	13713215	38	A	6	255	+	IV	13713179	13713200	21UR-1776	255	+	2	15
13009	IV	13744121	13744139	18	A	4	255	+	IV	13744123	13744144	21UR-5360	255	+	2	-5
13010	IV	13744121	13744188	67	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	44
13011	IV	13744121	13744190	69	A	10	255	+	IV	13744123	13744144	21UR-5360	255	+	2	46
13012	IV	13744121	13744191	70	A	4	255	+	IV	13744123	13744144	21UR-5360	255	+	2	47
13016	IV	13755266	13755310	44	A	2	255	+	IV	13755268	13755289	21UR-1850	255	+	2	21
13018	IV	13757754	13757777	23	A	16	255	+	IV	13757756	13757777	21UR-1129	255	+	2	0
13021	IV	13757754	13757825	71	A	3	255	+	IV	13757756	13757777	21UR-1129	255	+	2	48
13031	IV	13800619	13800667	48	G	5	255	+	IV	13800621	13800642	21UR-12585	255	+	2	25
13033	IV	13807672	13807717	45	A	8	255	+	IV	13807674	13807695	21UR-9089	255	+	2	22
13035	IV	13819063	13819134	71	A	1	255	+	IV	13819065	13819086	21UR-4680	255	+	2	48
13041	IV	13825477	13825503	26	A	6	255	+	IV	13825479	13825500	21UR-5874	255	+	2	3
13072	IV	13893693	13893733	40	A	1	255	+	IV	13893695	13893716	21UR-10153	255	+	2	17
13073	IV	13900186	13900212	26	A	5	255	+	IV	13900188	13900209	21UR-1946	255	+	2	3
13074	IV	13901422	13901470	48	G	2	255	+	IV	13901424	13901445	21UR-7393	255	+	2	25
13077	IV	13908126	13908159	33	A	1	255	+	IV	13908128	13908149	21UR-6818	255	+	2	10
13079	IV	13912950	13912977	27	G	7	255	+	IV	13912952	13912973	21UR-2351	255	+	2	4
13081	IV	13912950	13912981	31	G	7	255	+	IV	13912952	13912973	21UR-2351	255	+	2	8
13083	IV	13912950	13912986	36	G	3	255	+	IV	13912952	13912973	21UR-2351	255	+	2	13
