V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	plus_d	minus_d
2785	I	3745499	3745555	56	A	3	255	+	I	3745501	3745522	21UR-11567	255	+	2	33
4695	II	3373663	3373684	21	G	1	255	+	II	3373665	3373686	21UR-8285	255	+	2	-2
4721	II	4113706	4113734	28	G	1	255	+	II	4113708	4113729	21UR-5564	255	+	2	5
4722	II	4113706	4113744	38	G	2	255	+	II	4113708	4113729	21UR-5564	255	+	2	15
4723	II	4113706	4113749	43	G	6	255	+	II	4113708	4113729	21UR-5564	255	+	2	20
5222	II	5912548	5912569	21	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	-2
5223	II	5912548	5912571	23	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	0
5224	II	5912548	5912582	34	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	11
5225	II	5912548	5912584	36	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	13
5226	II	5912548	5912585	37	A	13	255	+	II	5912550	5912571	21UR-12205	255	+	2	14
5227	II	5912548	5912586	38	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	15
5228	II	5912548	5912598	50	A	13	255	+	II	5912550	5912571	21UR-12205	255	+	2	27
5229	II	5912548	5912601	53	A	3	255	+	II	5912550	5912571	21UR-12205	255	+	2	30
5230	II	5912548	5912604	56	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	33
5231	II	5912548	5912612	64	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	41
5232	II	5912548	5912614	66	A	1	255	+	II	5912550	5912571	21UR-12205	255	+	2	43
5233	II	5912548	5912615	67	A	2	255	+	II	5912550	5912571	21UR-12205	255	+	2	44
5706	III	10807479	10807509	30	A	4	255	+	III	10807481	10807502	21UR-9572	255	+	2	7
7114	III	7797199	7797228	29	A	4	255	+	III	7797201	7797222	21UR-14402	255	+	2	6
7504	IV	10269387	10269408	21	A	1	255	+	IV	10269389	10269410	21UR-12335	255	+	2	-2
7657	IV	11276751	11276796	45	A	1	255	+	IV	11276753	11276774	21UR-10898	255	+	2	22
8040	IV	13600846	13600870	24	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	1
8042	IV	13600846	13600871	25	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	2
8044	IV	13600846	13600872	26	G	3	255	+	IV	13600848	13600869	21UR-3338	255	+	2	3
8046	IV	13600846	13600874	28	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	5
8048	IV	13600846	13600903	57	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	34
8050	IV	13600846	13600904	58	G	17	255	+	IV	13600848	13600869	21UR-3338	255	+	2	35
8052	IV	13600846	13600905	59	G	1	255	+	IV	13600848	13600869	21UR-3338	255	+	2	36
8054	IV	13600846	13600907	61	G	2	255	+	IV	13600848	13600869	21UR-3338	255	+	2	38
8057	IV	13600849	13600869	20	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-3
8059	IV	13600849	13600870	21	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	-2
8061	IV	13600849	13600874	25	A	1	255	+	IV	13600851	13600872	21UR-2046	255	+	2	2
8063	IV	13600849	13600880	31	A	3	255	+	IV	13600851	13600872	21UR-2046	255	+	2	8
8065	IV	13600849	13600906	57	A	2	255	+	IV	13600851	13600872	21UR-2046	255	+	2	34
8076	IV	13601636	13601671	35	A	17	255	+	IV	13601638	13601659	21UR-3398	255	+	2	12
8077	IV	13601636	13601681	45	A	2	255	+	IV	13601638	13601659	21UR-3398	255	+	2	22
8078	IV	13601636	13601682	46	A	4	255	+	IV	13601638	13601659	21UR-3398	255	+	2	23
8079	IV	13601636	13601683	47	A	3	255	+	IV	13601638	13601659	21UR-3398	255	+	2	24
8080	IV	13601636	13601703	67	A	14	255	+	IV	13601638	13601659	21UR-3398	255	+	2	44
8147	IV	13645442	13645467	25	A	1	255	+	IV	13645444	13645465	21UR-6587	255	+	2	2
8154	IV	13651751	13651783	32	A	4	255	+	IV	13651753	13651774	21UR-5486	255	+	2	9
8157	IV	13651751	13651793	42	A	3	255	+	IV	13651753	13651774	21UR-5486	255	+	2	19
8160	IV	13684876	13684909	33	A	2	255	+	IV	13684878	13684899	21UR-6955	255	+	2	10
8177	IV	13731160	13731190	30	G	1	255	+	IV	13731162	13731183	21UR-9104	255	+	2	7
8178	IV	13733178	13733205	27	A	1	255	+	IV	13733180	13733201	21UR-280	255	+	2	4
8181	IV	13743063	13743096	33	A	3	255	+	IV	13743065	13743086	21UR-7700	255	+	2	10
8184	IV	13744121	13744140	19	A	1	255	+	IV	13744123	13744144	21UR-5360	255	+	2	-4
8185	IV	13744121	13744146	25	A	4	255	+	IV	13744123	13744144	21UR-5360	255	+	2	2
8207	IV	13768610	13768636	26	A	1	255	+	IV	13768612	13768633	21UR-5145	255	+	2	3
8209	IV	13768610	13768637	27	A	2	255	+	IV	13768612	13768633	21UR-5145	255	+	2	4
8210	IV	13769268	13769299	31	A	2	255	+	IV	13769270	13769291	21UR-6056	255	+	2	8
8216	IV	13811717	13811766	49	G	1	255	+	IV	13811719	13811740	21UR-2390	255	+	2	26
8220	IV	13820366	13820396	30	A	2	255	+	IV	13820368	13820389	21UR-3377	255	+	2	7
8223	IV	13830695	13830731	36	A	2	255	+	IV	13830697	13830718	21UR-2220	255	+	2	13
8225	IV	13830695	13830761	66	A	2	255	+	IV	13830697	13830718	21UR-2220	255	+	2	43
8250	IV	13896293	13896327	34	G	2	255	+	IV	13896295	13896316	21UR-712	255	+	2	11
8252	IV	13900186	13900222	36	A	1	255	+	IV	13900188	13900209	21UR-1946	255	+	2	13
8254	IV	13900971	13900999	28	A	2	255	+	IV	13900973	13900994	21UR-1719	255	+	2	5
8256	IV	13900971	13901002	31	A	2	255	+	IV	13900973	13900994	21UR-1719	255	+	2	8
8258	IV	13901422	13901469	47	G	1	255	+	IV	13901424	13901445	21UR-7393	255	+	2	24
8260	IV	13901422	13901470	48	G	1	255	+	IV	13901424	13901445	21UR-7393	255	+	2	25
8262	IV	13904341	13904364	23	A	3	255	+	IV	13904343	13904364	21UR-4084	255	+	2	0
8263	IV	13904341	13904373	32	A	1	255	+	IV	13904343	13904364	21UR-4084	255	+	2	9
8265	IV	13907290	13907316	26	A	2	255	+	IV	13907292	13907313	21UR-1874	255	+	2	3
8266	IV	13908126	13908151	25	A	2	255	+	IV	13908128	13908149	21UR-6818	255	+	2	2
8267	IV	13908126	13908159	33	A	1	255	+	IV	13908128	13908149	21UR-6818	255	+	2	10
8269	IV	13912950	13912983	33	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	10
8271	IV	13912950	13912987	37	G	1	255	+	IV	13912952	13912973	21UR-2351	255	+	2	14
8275	IV	13928650	13928685	35	A	2	255	+	IV	13928652	13928673	21UR-590	255	+	2	12
8280	IV	13937749	13937798	49	A	1	255	+	IV	13937751	13937772	21UR-7227	255	+	2	26
8283	IV	13945665	13945690	25	A	2	255	+	IV	13945667	13945688	21UR-823	255	+	2	2
8287	IV	13950573	13950604	31	A	3	255	+	IV	13950575	13950596	21UR-447	255	+	2	8
8289	IV	13954112	13954143	31	A	2	255	+	IV	13954114	13954135	21UR-5105	255	+	2	8
8292	IV	13954268	13954294	26	A	2	255	+	IV	13954270	13954291	21UR-2554	255	+	2	3
8301	IV	13988046	13988072	26	G	1	255	+	IV	13988048	13988069	21UR-3681	255	+	2	3
8303	IV	13991528	13991560	32	A	2	255	+	IV	13991530	13991551	21UR-637	255	+	2	9
8306	IV	13991528	13991588	60	A	1	255	+	IV	13991530	13991551	21UR-637	255	+	2	37
8313	IV	13993790	13993816	26	A	2	255	+	IV	13993792	13993813	21UR-4882	255	+	2	3
8316	IV	14008881	14008902	21	A	2	255	+	IV	14008883	14008904	21UR-2949	255	+	2	-2
8318	IV	14008881	14008922	41	A	5	255	+	IV	14008883	14008904	21UR-2949	255	+	2	18
8322	IV	14014891	14014919	28	A	1	255	+	IV	14014893	14014914	21UR-8258	255	+	2	5
8326	IV	14024903	14024928	25	A	3	255	+	IV	14024905	14024926	21UR-4789	255	+	2	2
8351	IV	14045424	14045448	24	A	2	255	+	IV	14045426	14045447	21UR-36	255	+	2	1
8352	IV	14045424	14045475	51	A	2	255	+	IV	14045426	14045447	21UR-36	255	+	2	28
8353	IV	14047172	14047199	27	A	2	255	+	IV	14047174	14047195	21UR-496	255	+	2	4
8354	IV	14049716	14049753	37	A	3	255	+	IV	14049718	14049739	21UR-796	255	+	2	14
8356	IV	14053267	14053295	28	G	1	255	+	IV	14053269	14053290	21UR-975	255	+	2	5
8357	IV	14053267	14053296	29	G	1	255	+	IV	14053269	14053290	21UR-975	255	+	2	6
8358	IV	14086201	14086223	22	A	1	255	+	IV	14086203	14086224	21UR-860	255	+	2	-1
8389	IV	14104569	14104591	22	G	3	255	+	IV	14104571	14104592	21UR-6904	255	+	2	-1
8420	IV	14151061	14151092	31	A	2	255	+	IV	14151063	14151084	21UR-4396	255	+	2	8
8421	IV	14151941	14151971	30	A	1	255	+	IV	14151943	14151964	21UR-11867	255	+	2	7
8422	IV	14168977	14169004	27	G	1	255	+	IV	14168979	14169000	21UR-3014	255	+	2	4
8423	IV	14168977	14169006	29	G	1	255	+	IV	14168979	14169000	21UR-3014	255	+	2	6
8425	IV	14179280	14179311	31	A	1	255	+	IV	14179282	14179303	21UR-4108	255	+	2	8
8428	IV	14181353	14181382	29	A	2	255	+	IV	14181355	14181376	21UR-172	255	+	2	6
8430	IV	14181353	14181408	55	A	2	255	+	IV	14181355	14181376	21UR-172	255	+	2	32
8432	IV	14181353	14181413	60	A	1	255	+	IV	14181355	14181376	21UR-172	255	+	2	37
8443	IV	14202376	14202413	37	A	5	255	+	IV	14202378	14202399	21UR-6845	255	+	2	14
8446	IV	14202376	14202414	38	A	1	255	+	IV	14202378	14202399	21UR-6845	255	+	2	15
8449	IV	14202376	14202441	65	A	1	255	+	IV	14202378	14202399	21UR-6845	255	+	2	42
8455	IV	14222745	14222773	28	A	3	255	+	IV	14222747	14222768	21UR-1334	255	+	2	5
8463	IV	14234234	14234263	29	G	3	255	+	IV	14234236	14234257	21UR-1703	255	+	2	6
8465	IV	14239632	14239661	29	G	3	255	+	IV	14239634	14239655	21UR-1234	255	+	2	6
8469	IV	14242025	14242055	30	G	2	255	+	IV	14242027	14242048	21UR-1716	255	+	2	7
8483	IV	14266257	14266284	27	G	3	255	+	IV	14266259	14266280	21UR-15686	255	+	2	4
8486	IV	14266257	14266302	45	G	3	255	+	IV	14266259	14266280	21UR-15686	255	+	2	22
8489	IV	14266257	14266303	46	G	1	255	+	IV	14266259	14266280	21UR-15686	255	+	2	23
8492	IV	14269695	14269723	28	G	3	255	+	IV	14269697	14269718	21UR-1317	255	+	2	5
8495	IV	14281086	14281139	53	G	1	255	+	IV	14281088	14281109	21UR-5321	255	+	2	30
8500	IV	14288224	14288263	39	A	2	255	+	IV	14288226	14288247	21UR-4477	255	+	2	16
8504	IV	14294282	14294318	36	G	2	255	+	IV	14294284	14294305	21UR-2819	255	+	2	13
8506	IV	14296808	14296836	28	A	1	255	+	IV	14296810	14296831	21UR-6065	255	+	2	5
8507	IV	14296808	14296841	33	A	1	255	+	IV	14296810	14296831	21UR-6065	255	+	2	10
8509	IV	14300356	14300380	24	G	2	255	+	IV	14300358	14300379	21UR-904	255	+	2	1
8516	IV	14308937	14308970	33	A	1	255	+	IV	14308939	14308960	21UR-6638	255	+	2	10
8532	IV	14343117	14343160	43	A	4	255	+	IV	14343119	14343140	21UR-1326	255	+	2	20
8534	IV	14343686	14343739	53	A	2	255	+	IV	14343688	14343709	21UR-8305	255	+	2	30
8536	IV	14344831	14344859	28	A	3	255	+	IV	14344833	14344854	21UR-5497	255	+	2	5
8543	IV	14360283	14360329	46	A	1	255	+	IV	14360285	14360306	21UR-11280	255	+	2	23
8545	IV	14369963	14369989	26	A	6	255	+	IV	14369965	14369986	21UR-424	255	+	2	3
8546	IV	14376524	14376584	60	A	2	255	+	IV	14376526	14376547	21UR-3042	255	+	2	37
8547	IV	14381735	14381769	34	A	1	255	+	IV	14381737	14381758	21UR-175	255	+	2	11
8551	IV	14391606	14391667	61	A	1	255	+	IV	14391608	14391629	21UR-6255	255	+	2	38
8553	IV	14392251	14392278	27	A	1	255	+	IV	14392253	14392274	21UR-6459	255	+	2	4
8554	IV	14392620	14392647	27	G	1	255	+	IV	14392622	14392643	21UR-1258	255	+	2	4
8561	IV	14399305	14399335	30	A	1	255	+	IV	14399307	14399328	21UR-688	255	+	2	7
8562	IV	14411944	14411991	47	A	2	255	+	IV	14411946	14411967	21UR-4878	255	+	2	24
8564	IV	14412198	14412226	28	A	2	255	+	IV	14412200	14412221	21UR-3236	255	+	2	5
8572	IV	14424495	14424537	42	G	6	255	+	IV	14424497	14424518	21UR-1898	255	+	2	19
8593	IV	14470639	14470669	30	A	3	255	+	IV	14470641	14470662	21UR-3971	255	+	2	7
8602	IV	14487807	14487839	32	G	3	255	+	IV	14487809	14487830	21UR-8300	255	+	2	9
8603	IV	14488991	14489037	46	A	2	255	+	IV	14488993	14489014	21UR-2671	255	+	2	23
8605	IV	14489335	14489361	26	G	3	255	+	IV	14489337	14489358	21UR-5000	255	+	2	3
8608	IV	14489335	14489364	29	G	1	255	+	IV	14489337	14489358	21UR-5000	255	+	2	6
8610	IV	14489525	14489556	31	A	1	255	+	IV	14489527	14489548	21UR-6765	255	+	2	8
8612	IV	14494062	14494092	30	A	1	255	+	IV	14494064	14494085	21UR-6444	255	+	2	7
8613	IV	14494639	14494661	22	G	1	255	+	IV	14494641	14494662	21UR-4748	255	+	2	-1
8614	IV	14494639	14494667	28	G	1	255	+	IV	14494641	14494662	21UR-4748	255	+	2	5
8615	IV	14494639	14494669	30	G	3	255	+	IV	14494641	14494662	21UR-4748	255	+	2	7
8616	IV	14494639	14494684	45	G	3	255	+	IV	14494641	14494662	21UR-4748	255	+	2	22
8617	IV	14494639	14494686	47	G	2	255	+	IV	14494641	14494662	21UR-4748	255	+	2	24
8618	IV	14495455	14495485	30	A	4	255	+	IV	14495457	14495478	21UR-1793	255	+	2	7
8619	IV	14495455	14495494	39	A	1	255	+	IV	14495457	14495478	21UR-1793	255	+	2	16
8620	IV	14495455	14495514	59	A	4	255	+	IV	14495457	14495478	21UR-1793	255	+	2	36
8621	IV	14495693	14495722	29	G	2	255	+	IV	14495695	14495716	21UR-4819	255	+	2	6
8622	IV	14495693	14495724	31	G	1	255	+	IV	14495695	14495716	21UR-4819	255	+	2	8
8623	IV	14495693	14495725	32	G	2	255	+	IV	14495695	14495716	21UR-4819	255	+	2	9
8624	IV	14495693	14495742	49	G	3	255	+	IV	14495695	14495716	21UR-4819	255	+	2	26
8625	IV	14495693	14495743	50	G	4	255	+	IV	14495695	14495716	21UR-4819	255	+	2	27
8627	IV	14495916	14495954	38	A	1	255	+	IV	14495918	14495939	21UR-5227	255	+	2	15
8632	IV	14504577	14504610	33	G	2	255	+	IV	14504579	14504600	21UR-9027	255	+	2	10
8633	IV	14504577	14504627	50	G	1	255	+	IV	14504579	14504600	21UR-9027	255	+	2	27
8636	IV	14508846	14508880	34	G	1	255	+	IV	14508848	14508869	21UR-4991	255	+	2	11
8640	IV	14514353	14514377	24	A	3	255	+	IV	14514355	14514376	21UR-8083	255	+	2	1
8641	IV	14514353	14514380	27	A	1	255	+	IV	14514355	14514376	21UR-8083	255	+	2	4
8642	IV	14514353	14514397	44	A	1	255	+	IV	14514355	14514376	21UR-8083	255	+	2	21
8657	IV	14559924	14559952	28	G	3	255	+	IV	14559926	14559947	21UR-1944	255	+	2	5
8669	IV	14578760	14578784	24	A	1	255	+	IV	14578762	14578783	21UR-5113	255	+	2	1
8677	IV	14583795	14583826	31	A	2	255	+	IV	14583797	14583818	21UR-5492	255	+	2	8
8678	IV	14583795	14583844	49	A	1	255	+	IV	14583797	14583818	21UR-5492	255	+	2	26
8683	IV	14594826	14594845	19	A	1	255	+	IV	14594828	14594849	21UR-865	255	+	2	-4
8685	IV	14594826	14594854	28	A	2	255	+	IV	14594828	14594849	21UR-865	255	+	2	5
8687	IV	14594826	14594856	30	A	4	255	+	IV	14594828	14594849	21UR-865	255	+	2	7
8689	IV	14595430	14595451	21	A	1	255	+	IV	14595432	14595453	21UR-5791	255	+	2	-2
8690	IV	14599209	14599235	26	G	1	255	+	IV	14599211	14599232	21UR-12688	255	+	2	3
8692	IV	14601011	14601036	25	A	2	255	+	IV	14601013	14601034	21UR-5962	255	+	2	2
8696	IV	14601011	14601073	62	A	1	255	+	IV	14601013	14601034	21UR-5962	255	+	2	39
8702	IV	14603823	14603850	27	A	1	255	+	IV	14603825	14603846	21UR-5767	255	+	2	4
8705	IV	14607314	14607346	32	G	4	255	+	IV	14607316	14607337	21UR-1087	255	+	2	9
8706	IV	14607694	14607724	30	G	3	255	+	IV	14607696	14607717	21UR-6829	255	+	2	7
8714	IV	14628110	14628141	31	A	3	255	+	IV	14628112	14628133	21UR-4923	255	+	2	8
8716	IV	14628335	14628360	25	A	4	255	+	IV	14628337	14628358	21UR-5391	255	+	2	2
8719	IV	14640087	14640134	47	A	2	255	+	IV	14640089	14640110	21UR-864	255	+	2	24
8720	IV	14640087	14640135	48	A	2	255	+	IV	14640089	14640110	21UR-864	255	+	2	25
8721	IV	14640087	14640136	49	A	1	255	+	IV	14640089	14640110	21UR-864	255	+	2	26
8722	IV	14640087	14640137	50	A	2	255	+	IV	14640089	14640110	21UR-864	255	+	2	27
8726	IV	14641886	14641916	30	A	2	255	+	IV	14641888	14641909	21UR-6228	255	+	2	7
8728	IV	14641886	14641925	39	A	1	255	+	IV	14641888	14641909	21UR-6228	255	+	2	16
8730	IV	14644855	14644883	28	A	1	255	+	IV	14644857	14644878	21UR-845	255	+	2	5
8731	IV	14644855	14644892	37	A	2	255	+	IV	14644857	14644878	21UR-845	255	+	2	14
8732	IV	14644855	14644894	39	A	1	255	+	IV	14644857	14644878	21UR-845	255	+	2	16
8733	IV	14644855	14644897	42	A	3	255	+	IV	14644857	14644878	21UR-845	255	+	2	19
8755	IV	14688003	14688032	29	A	2	255	+	IV	14688005	14688026	21UR-3890	255	+	2	6
8756	IV	14688231	14688262	31	A	4	255	+	IV	14688233	14688254	21UR-6388	255	+	2	8
8759	IV	14696461	14696498	37	G	1	255	+	IV	14696463	14696484	21UR-6435	255	+	2	14
8763	IV	14713079	14713102	23	A	1	255	+	IV	14713081	14713102	21UR-2123	255	+	2	0
8765	IV	14713079	14713134	55	A	1	255	+	IV	14713081	14713102	21UR-2123	255	+	2	32
8767	IV	14713079	14713137	58	A	2	255	+	IV	14713081	14713102	21UR-2123	255	+	2	35
8783	IV	14726332	14726353	21	A	5	255	+	IV	14726334	14726355	21UR-5183	255	+	2	-2
8785	IV	14733231	14733261	30	A	1	255	+	IV	14733233	14733254	21UR-3503	255	+	2	7
8786	IV	14734211	14734240	29	A	3	255	+	IV	14734213	14734234	21UR-32	255	+	2	6
8789	IV	14741435	14741460	25	A	11	255	+	IV	14741437	14741458	21UR-1697	255	+	2	2
8792	IV	14745189	14745211	22	A	1	255	+	IV	14745191	14745212	21UR-826	255	+	2	-1
8795	IV	14745189	14745220	31	A	5	255	+	IV	14745191	14745212	21UR-826	255	+	2	8
8798	IV	14745189	14745235	46	A	2	255	+	IV	14745191	14745212	21UR-826	255	+	2	23
8807	IV	14748617	14748651	34	A	1	255	+	IV	14748619	14748640	21UR-3702	255	+	2	11
8808	IV	14748617	14748655	38	A	3	255	+	IV	14748619	14748640	21UR-3702	255	+	2	15
8826	IV	14763227	14763266	39	A	1	255	+	IV	14763229	14763250	21UR-8862	255	+	2	16
8861	IV	14806405	14806433	28	G	1	255	+	IV	14806407	14806428	21UR-2757	255	+	2	5
8862	IV	14812755	14812775	20	G	1	255	+	IV	14812757	14812778	21UR-1128	255	+	2	-3
8870	IV	14816657	14816681	24	A	1	255	+	IV	14816659	14816680	21UR-87	255	+	2	1
8872	IV	14816657	14816683	26	A	4	255	+	IV	14816659	14816680	21UR-87	255	+	2	3
8874	IV	14820136	14820157	21	G	1	255	+	IV	14820138	14820159	21UR-6037	255	+	2	-2
8877	IV	14829426	14829460	34	A	1	255	+	IV	14829428	14829449	21UR-6425	255	+	2	11
8878	IV	14829426	14829463	37	A	3	255	+	IV	14829428	14829449	21UR-6425	255	+	2	14
8879	IV	14830658	14830697	39	A	1	255	+	IV	14830660	14830681	21UR-4463	255	+	2	16
8883	IV	14835305	14835330	25	A	2	255	+	IV	14835307	14835328	21UR-10493	255	+	2	2
8888	IV	14849084	14849129	45	A	1	255	+	IV	14849086	14849107	21UR-7192	255	+	2	22
8891	IV	14849084	14849133	49	A	1	255	+	IV	14849086	14849107	21UR-7192	255	+	2	26
8893	IV	14853436	14853462	26	G	2	255	+	IV	14853438	14853459	21UR-1739	255	+	2	3
8900	IV	14864743	14864768	25	A	3	255	+	IV	14864745	14864766	21UR-458	255	+	2	2
8901	IV	14864743	14864769	26	A	30	255	+	IV	14864745	14864766	21UR-458	255	+	2	3
8902	IV	14864743	14864772	29	A	6	255	+	IV	14864745	14864766	21UR-458	255	+	2	6
8903	IV	14864743	14864781	38	A	1	255	+	IV	14864745	14864766	21UR-458	255	+	2	15
8904	IV	14864743	14864785	42	A	2	255	+	IV	14864745	14864766	21UR-458	255	+	2	19
8905	IV	14864743	14864802	59	A	5	255	+	IV	14864745	14864766	21UR-458	255	+	2	36
8906	IV	14864743	14864803	60	A	34	255	+	IV	14864745	14864766	21UR-458	255	+	2	37
8917	IV	14872793	14872823	30	G	1	255	+	IV	14872795	14872816	21UR-2599	255	+	2	7
